#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研英语::外刊精读
throw one's weight around	<b>核心意思</b>：仗势施压，利用影响力逼迫别人。<br><b>原文句</b>：The world's artificial-intelligence superpowers are beginning to throw their weight around. 译：人工智能超级大国正开始展现自己的影响力。<br><b>怎么记</b>：weight 是“分量/影响力”，throw around 带有随意施压感。<br><b>怎么考</b>：态度题中常带轻微批评色彩。<br><b>真实例句</b>：1. Large platforms should not be allowed to throw their weight around in public markets. 译：大型平台不应被允许在公共市场中仗势施压。<br>2. A powerful school can throw its weight around when local rules are weak. 译：当地方规则薄弱时，一所强势学校可能会滥用影响力。		外刊精读
withhold access to sth	<b>核心意思</b>：限制或拒绝他人使用某物。<br><b>原文句</b>：The American government's short-lived decision to withhold foreigners' access to Fable... reflected not just a desire for control... 译：美国政府曾短暂决定限制外国人使用 Fable，这不仅反映出控制欲。<br><b>怎么记</b>：withhold = hold back，不给出去。<br><b>怎么考</b>：科技、教育、资源分配类文章常考 access 搭配。<br><b>真实例句</b>：1. Schools should not withhold access to digital tools from poorer students. 译：学校不应让贫困学生无法使用数字工具。<br>2. The company may withhold access to sensitive data until the audit is complete. 译：公司可能会在审计完成前限制敏感数据访问。	<b>作文可用</b>：可用于教育公平、科技治理、公共资源分配。	外刊精读
in the wrong hands	<b>核心意思</b>：落入不当之人手中。<br><b>原文句</b>：...fear of the dangers it could pose in the wrong hands. 译：担心它落入不当之手后可能带来的危险。<br><b>怎么记</b>：hands 代指掌控者。<br><b>怎么考</b>：常用于风险、伦理、安全类推理题。<br><b>真实例句</b>：1. Personal data can cause real harm in the wrong hands. 译：个人数据落入不当之人手中会造成真实伤害。<br>2. Powerful tools require safeguards because they are dangerous in the wrong hands. 译：强大的工具需要保护措施，因为它们落入不当之手会很危险。	<b>作文可用</b>：科技伦理、网络安全、个人信息保护。	外刊精读
coherent and predictable	<b>核心意思</b>：连贯且可预期的。<br><b>原文句</b>：...the industry needs a plan that is coherent and predictable. 译：这个行业需要一套连贯、可预期的方案。<br><b>怎么记</b>：coherent 强调内部逻辑一致，predictable 强调执行可预期。<br><b>怎么考</b>：常用于政策评价和制度设计。<br><b>真实例句</b>：1. A coherent and predictable policy can reduce uncertainty for families. 译：连贯且可预期的政策可以减少家庭的不确定性。<br>2. Environmental rules must be coherent and predictable if firms are to follow them. 译：如果要企业遵守，环保规则必须连贯且可预期。	<b>作文可用</b>：A coherent and predictable framework is needed to protect public interests.	外刊精读
fall in line	<b>核心意思</b>：跟随，服从，接受某一规则。<br><b>原文句</b>：Agreement is not required because other countries will fall in line in order to maintain access to American technology and the vast American market. 译：并不一定需要先达成协议，因为其他国家为了继续使用美国技术和进入庞大的美国市场，会跟随美国的规则。<br><b>怎么记</b>：line 是队伍，fall in line 是“站到队伍里”。<br><b>怎么考</b>：判断国家/机构行为原因。<br><b>真实例句</b>：1. Smaller firms often fall in line when industry leaders set new standards. 译：行业领导者制定新标准时，小公司往往会跟随。<br>2. Local governments may fall in line once the national policy becomes clear. 译：国家政策明确后，地方政府可能会跟进。		外刊精读
avert a race to the bottom	<b>核心意思</b>：避免为降低标准而相互竞争。<br><b>原文句</b>：One day that could even extend to China, helping to avert a race to the bottom on safety. 译：某一天，这种机制甚至可能延伸到中国，从而有助于避免在安全问题上的逐底竞争。<br><b>怎么记</b>：race to the bottom = 比谁标准更低。<br><b>怎么考</b>：常用于监管、环保、劳动保护类文章。<br><b>真实例句</b>：1. Without common labour standards, companies may enter a race to the bottom. 译：如果没有共同劳动标准，公司可能陷入逐底竞争。<br>2. Climate rules can avert a race to the bottom among local governments. 译：气候规则可以避免地方政府之间的逐底竞争。	<b>作文可用</b>：If left unchecked, fierce competition may become a race to the bottom.	外刊精读
hard enforcement powers	<b>核心意思</b>：强制执法权。<br><b>原文句</b>：FINRA, by way of example, has hard enforcement powers delegated to it by the state. 译：以 FINRA 为例，它拥有国家授权的强制执法权。<br><b>怎么记</b>：hard 在这里不是“困难”，而是“强硬、实质性的”。<br><b>怎么考</b>：熟词僻义 + 政策细节题。<br><b>真实例句</b>：1. A regulator without hard enforcement powers may be ignored. 译：没有强制执法权的监管者可能会被无视。<br>2. Consumer protection requires hard enforcement powers, not just advice. 译：消费者保护需要强制执法权，而不只是建议。		外刊精读
cutting-edge AI	<b>核心意思</b>：前沿人工智能。<br><b>原文句</b>：...ensure that only countries that have joined the cause gain access to cutting-edge AI. 译：确保只有加入这一事业的国家才能获得前沿 AI。<br><b>怎么记</b>：cutting edge 是刀刃最前端，引申为“最先进”。<br><b>怎么考</b>：科技主题高频形容词搭配。<br><b>真实例句</b>：1. Cutting-edge AI may transform hospitals, schools and public services. 译：前沿 AI 可能改变医院、学校和公共服务。<br>2. Access to cutting-edge technology should come with public responsibility. 译：获得前沿技术应伴随公共责任。	<b>作文可用</b>：cutting-edge technology 可用于科技创新主题。	外刊精读
in the abstract	<b>核心意思</b>：抽象地，笼统地。<br><b>原文句</b>：So far the industry's senior figures have been more comfortable calling for rules in the abstract than designing regulatory agencies from scratch. 译：到目前为止，行业高层更习惯于抽象地呼吁制定规则，而不是从零开始设计监管机构。<br><b>怎么记</b>：abstract 与 concrete 相对。<br><b>怎么考</b>：用于识别作者对“空泛呼吁”的批评。<br><b>真实例句</b>：1. It is easy to support fairness in the abstract but harder to design fair rules. 译：抽象地支持公平很容易，但设计公平规则更难。<br>2. People often praise innovation in the abstract while resisting real change. 译：人们常常抽象地赞美创新，却抵制真实改变。		外刊精读
from scratch	<b>核心意思</b>：从零开始。<br><b>原文句</b>：...designing regulatory agencies from scratch. 译：从零开始设计监管机构。<br><b>怎么记</b>：scratch 是起跑线，从 scratch 开始就是从起点开始。<br><b>怎么考</b>：常见短语，可用于翻译和完形。<br><b>真实例句</b>：1. The city had to rebuild its public-health system from scratch. 译：这座城市不得不从零开始重建公共卫生系统。<br>2. Young people do not need to build every skill from scratch. 译：年轻人不必从零开始建立每一项技能。	<b>作文可用</b>：用于制度建设、个人成长、教育改革。	外刊精读
