#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研英语::外刊精读
blistering heat	<b>核心意思</b>：酷热，灼热天气。<br><b>原文句</b>：...the players... could adapt to the blistering heat of the host nations. 译：球员可以适应主办国的酷热天气。<br><b>怎么记</b>：blister 是水疱，blistering heat 像热到起水疱。<br><b>怎么考</b>：环境与气候文章中的强烈描述词。<br><b>真实例句</b>：1. Outdoor workers need protection in blistering heat. 译：户外劳动者在酷热中需要保护。<br>2. Schools adjusted schedules during the blistering heat. 译：学校在酷热期间调整了日程。	<b>作文可用</b>：可用于气候变化、公共健康。	外刊精读
blood plasma	<b>核心意思</b>：血浆。<br><b>原文句</b>：That increases levels of blood plasma, the watery stuff which carries blood cells around the body... 译：这会增加血浆水平，血浆是携带血细胞在身体中流动的水状物质。<br><b>怎么记</b>：plasma 在医学中指血浆。<br><b>怎么考</b>：健康科普中的定义解释。<br><b>真实例句</b>：1. Blood plasma helps transport cells and nutrients. 译：血浆帮助运输细胞和营养物质。<br>2. Dehydration can reduce plasma volume during exercise. 译：脱水会在运动中减少血浆容量。		外刊精读
blood flow to the skin	<b>核心意思</b>：流向皮肤的血流。<br><b>原文句</b>：More plasma also improves blood flow to the skin. 译：更多血浆还能改善流向皮肤的血流。<br><b>怎么记</b>：flow to = 流向。<br><b>怎么考</b>：机制题，说明身体如何散热。<br><b>真实例句</b>：1. Exercise increases blood flow to working muscles. 译：运动会增加流向工作肌肉的血流。<br>2. Heat exposure changes blood flow to the skin. 译：热暴露会改变流向皮肤的血流。		外刊精读
electrolytes	<b>核心意思</b>：电解质。<br><b>原文句</b>：...sweat glands release water and electrolytes onto the skin's surface... 译：汗腺会把水和电解质释放到皮肤表面。<br><b>怎么记</b>：electro- 与电有关，运动出汗常丢失 electrolytes。<br><b>怎么考</b>：运动健康、补液主题。<br><b>真实例句</b>：1. Athletes may need to replace electrolytes after long sessions. 译：运动员在长时间训练后可能需要补充电解质。<br>2. Water alone may not replace all lost electrolytes. 译：单靠水可能无法补回所有流失的电解质。		外刊精读
core body temperature	<b>核心意思</b>：核心体温。<br><b>原文句</b>：...participants spend 30 minutes exercising to raise their core body temperatures to a target value... 译：参与者先运动 30 分钟，把核心体温提高到目标值。<br><b>怎么记</b>：core = 核心，body temperature = 体温。<br><b>怎么考</b>：实验细节题。<br><b>真实例句</b>：1. Fever raises core body temperature. 译：发烧会提高核心体温。<br>2. Heat stroke occurs when core body temperature rises dangerously. 译：核心体温危险升高时会发生中暑。		外刊精读
acclimatisation	<b>核心意思</b>：适应，习服。<br><b>原文句</b>：...improved several measures of acclimatisation. 译：多项热适应指标都有改善。<br><b>怎么记</b>：climate 是气候，acclimatise 是适应气候或环境。<br><b>怎么考</b>：本文核心概念，注意不是 immunity。<br><b>真实例句</b>：1. Acclimatisation helps travellers cope with altitude. 译：适应过程帮助旅行者应对高海拔。<br>2. Heat acclimatisation should be gradual and safe. 译：热适应应当循序渐进且安全。		外刊精读
do the trick	<b>核心意思</b>：奏效，起作用。<br><b>原文句</b>：...hot baths alone can do the trick. 译：单靠热水浴也能奏效。<br><b>怎么记</b>：trick 这里不是把戏，而是“有效办法”。<br><b>怎么考</b>：熟词短语，常用于说明某方法有效。<br><b>真实例句</b>：1. A short walk may do the trick when stress builds up. 译：压力积累时，短暂散步可能就会奏效。<br>2. Clear instructions can often do the trick. 译：清晰说明往往就能解决问题。	<b>作文可用</b>：口语感较强，作文中可改为 prove effective。	外刊精读
adaptive benefits	<b>核心意思</b>：适应性收益。<br><b>原文句</b>：...you're going to start losing the adaptive benefits. 译：你会开始失去这些适应性收益。<br><b>怎么记</b>：adaptive = 适应性的。<br><b>怎么考</b>：抽象名词短语，常用于科普解释。<br><b>真实例句</b>：1. Regular practice brings adaptive benefits to the brain. 译：规律练习会给大脑带来适应性收益。<br>2. Training benefits fade when the stimulus disappears. 译：刺激消失后，训练收益会减退。		外刊精读
lead-up to sth	<b>核心意思</b>：某事之前的准备期。<br><b>原文句</b>：Still, only a few days of training are needed in the lead-up to a heatwave. 译：不过，在热浪来临前，只需要几天训练即可。<br><b>怎么记</b>：lead up to = 通向某事。<br><b>怎么考</b>：时间关系。<br><b>真实例句</b>：1. Sleep matters in the lead-up to an exam. 译：考试前的准备期睡眠很重要。<br>2. The lead-up to a competition should include recovery. 译：比赛前的准备期应包括恢复。	<b>作文可用</b>：可用于考试、比赛、公共事件准备。	外刊精读
take the edge off sth	<b>核心意思</b>：减轻某事的不适或冲击。<br><b>原文句</b>：...some simple tactics could help take the edge off the weather. 译：一些简单方法确实可以减轻天气带来的冲击。<br><b>怎么记</b>：edge 是锋利边缘，take the edge off 是把锋芒削弱。<br><b>怎么考</b>：熟词僻义 + 短语理解。<br><b>真实例句</b>：1. Better public transport can take the edge off urban stress. 译：更好的公共交通可以减轻城市压力。<br>2. A short break can take the edge off mental fatigue. 译：短暂休息可以减轻精神疲劳。	<b>作文可用</b>：Simple measures can take the edge off a serious problem.	外刊精读
