#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#tags column:4
unglamorous as that sounds	<b>核心意思</b>：尽管听起来不光鲜；虽然这个说法不漂亮。<br><b>原文句</b>：Unglamorous as that sounds, it is still somewhat flattering.<br>译：尽管这个名字听起来并不华丽，但仍然算有点抬举它们。<br><b>怎么记</b>：这是 although 的倒装压缩：Adj. + as + 主语 + 谓语，表示让步。<br><b>怎么考</b>：常考让步逻辑和句子主干；翻译时先译“尽管……”。<br><b>真实例句</b>：<br>1. Difficult as the reform may seem, it is necessary for long-term growth. 译：尽管改革看起来困难，但它对长期增长是必要的。<br>2. Unfashionable as the habit sounds, daily reading can sharpen one's judgement. 译：尽管这个习惯听起来不时髦，每日阅读能磨炼判断力。	<b>作文可用</b>：Difficult as the task may seem, young people should learn to face it with patience. 译：尽管任务看起来困难，年轻人也应学会耐心面对它。	外刊精读
robust and purposeful	<b>核心意思</b>：强健而有明确用途的；结实且目标明确的。<br><b>原文句</b>：A potato is solid, robust and purposeful.<br>译：土豆是实在、强健而有明确用途的。<br><b>怎么记</b>：robust 不只是 strong，还常指制度、数据、身体或经济“经得起压力”。purposeful = 有目的、有方向。<br><b>怎么考</b>：阅读中常用于正面评价制度、证据、设计；翻译要避免只译成“强壮”。<br><b>真实例句</b>：<br>1. A robust public-health system can respond quickly to new diseases. 译：一个健全的公共卫生系统能够迅速应对新疾病。<br>2. Purposeful learning is more effective than passive memorisation. 译：有目标的学习比被动记忆更有效。	<b>作文可用</b>：A robust education system should be purposeful rather than exam-obsessed. 译：一个健全的教育体系应当目标明确，而不是沉迷考试。	外刊精读
wimpy and helpless	<b>核心意思</b>：软弱无力、无法自立的。<br><b>原文句</b>：The cells made in Kate Adamala's lab at the University of Minnesota are, in her own words, "wimpy" and "helpless".<br>译：明尼苏达大学 Kate Adamala 实验室制造出的细胞，用她自己的话说，是“弱不禁风”和“无助的”。<br><b>怎么记</b>：wimpy 是口语色彩，表示 weak and lacking courage/strength；helpless 强调无法靠自己解决问题。<br><b>怎么考</b>：经济学人常用轻松词制造反差；理解语气比死背中文更重要。<br><b>真实例句</b>：<br>1. A wimpy policy cannot protect workers during an economic downturn. 译：软弱无力的政策无法在经济下行时保护劳动者。<br>2. Children may feel helpless when schools ignore bullying. 译：当学校忽视霸凌时，孩子可能会感到无助。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
bespoke environment	<b>核心意思</b>：定制环境；专门为某对象设计的条件。<br><b>原文句</b>：They have no metabolism, instead depending on a bespoke environment for nearly everything they need.<br>译：它们没有新陈代谢，几乎所有所需之物都依赖一个专门定制的环境。<br><b>怎么记</b>：bespoke 原指 tailor-made 定制的；外刊中常搭配 solution, system, environment。<br><b>怎么考</b>：熟词替换 personalized/customized；翻译时译成“定制化的/专门设计的”。<br><b>真实例句</b>：<br>1. Students from different backgrounds may need a bespoke learning plan. 译：来自不同背景的学生可能需要定制化学习方案。<br>2. The company built a bespoke platform for handling medical data. 译：这家公司搭建了一个专门处理医疗数据的平台。	<b>作文可用</b>：Education should provide bespoke support for students with different needs. 译：教育应为需求不同的学生提供定制化支持。	外刊精读
do nothing but do	<b>核心意思</b>：除了……什么也不做；只会/只负责做某事。<br><b>原文句</b>：They do nothing but follow the programmes for growth and reproduction written into their seven loops of designer DNA.<br>译：它们除了执行写入七个环状设计 DNA 中的生长和繁殖程序外，什么也不做。<br><b>怎么记</b>：but 在这里不是“但是”，而是 except；后面接动词原形。<br><b>怎么考</b>：完形和翻译常考 but 的介词/准介词用法，不要译成转折。<br><b>真实例句</b>：<br>1. Some platforms do nothing but collect user data for advertising. 译：一些平台除了为广告收集用户数据外，什么也不做。<br>2. A lazy answer does nothing but repeat the question in different words. 译：一个偷懒的回答只是在用不同措辞重复问题。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
under genetic control	<b>核心意思</b>：在基因控制之下；受遗传机制支配。<br><b>原文句</b>：Unlike everything else ever seen which grows and reproduces itself under genetic control, neither the SpudCells themselves, nor any parts of them, have ancestors.<br>译：不同于此前见过的一切在基因控制下生长并繁殖的东西，SpudCells 本身以及它们的任何组成部分都没有祖先。<br><b>怎么记</b>：under + 抽象名词常表示“受……支配/处于……之下”，如 under pressure, under regulation。<br><b>怎么考</b>：长难句中常作后置状语，说明某行为发生的条件或机制。<br><b>真实例句</b>：<br>1. Some diseases develop under genetic control but are influenced by lifestyle. 译：有些疾病在遗传机制支配下发展，但也受生活方式影响。<br>2. Online platforms operate under strict regulatory control. 译：网络平台在严格监管之下运营。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
from scratch	<b>核心意思</b>：从零开始；不依赖现成基础。<br><b>原文句</b>：Their bodies and genomes were built in the lab from scratch, each molecule specified precisely.<br>译：它们的身体和基因组是在实验室里从零建造出来的，每一个分子都被精确指定。<br><b>怎么记</b>：scratch 原指起跑线；from scratch = 从起点开始。<br><b>怎么考</b>：科技、创业、教育类文章高频；常与 build, create, start 搭配。<br><b>真实例句</b>：<br>1. The team built the database from scratch after the old system failed. 译：旧系统失灵后，团队从零开始建立数据库。<br>2. Learning academic writing from scratch requires patience and feedback. 译：从零学习学术写作需要耐心和反馈。	<b>作文可用</b>：Many young people have to build their careers from scratch in a changing economy. 译：在变化的经济中，许多年轻人不得不从零开始建立职业生涯。	外刊精读
a landmark event	<b>核心意思</b>：里程碑事件；具有转折意义的大事。<br><b>原文句</b>：According to John Glass, a pioneer in the field who works at the J. Craig Venter Institute in San Diego, this makes the SpudCells "a landmark event in the history of biology and synthetic cells."<br>译：在圣迭戈 J. Craig Venter 研究所工作的该领域先驱 John Glass 认为，这使 SpudCells 成为“生物学和合成细胞史上的里程碑事件”。<br><b>怎么记</b>：landmark 本义地标，引申为历史进程中的重要标志。<br><b>怎么考</b>：态度题中通常体现高度正面评价；写作可替代 important event。<br><b>真实例句</b>：<br>1. The discovery was a landmark event in the fight against infectious disease. 译：这一发现是抗击传染病过程中的里程碑事件。<br>2. The new law became a landmark event in environmental protection. 译：这项新法律成为环境保护领域的里程碑事件。	<b>作文可用</b>：The spread of online education is a landmark event in modern learning. 译：在线教育的普及是现代学习中的里程碑事件。	外刊精读
underappreciated	<b>核心意思</b>：被低估的；未被充分认识的。<br><b>原文句</b>：One reason it might be underappreciated is that making living cells is not hard in itself; other cells do it all the time.<br>译：它可能被低估的一个原因是：制造活细胞本身并不难；其他细胞一直都在这么做。<br><b>怎么记</b>：under- = 不足；appreciate 在这里不是“欣赏”，而是“充分理解其价值”。<br><b>怎么考</b>：熟词僻义：appreciate 可表示 understand/recognise the value of。<br><b>真实例句</b>：<br>1. The role of sleep in learning is often underappreciated. 译：睡眠在学习中的作用常常被低估。<br>2. Care workers remain underappreciated despite their social importance. 译：尽管护理人员具有社会重要性，他们仍未得到充分认可。	<b>作文可用</b>：The value of daily reading is underappreciated in an age of short videos. 译：在短视频时代，每日阅读的价值被低估了。	外刊精读
manage without	<b>核心意思</b>：没有……也能应付；不依靠……也能运转。<br><b>原文句</b>：In the 2010s Dr Glass and his colleagues used studies which had identified every gene a bacterium could manage without to try and create a minimal genome.<br>译：2010 年代，Glass 博士和同事利用那些识别出细菌可缺失哪些基因仍能存活的研究，试图创造一个最小基因组。<br><b>怎么记</b>：manage = cope/survive，应付；without 后接缺少的对象。<br><b>怎么考</b>：细节题常问某系统“能省掉什么”；翻译别译成“管理没有”。<br><b>真实例句</b>：<br>1. Many small firms cannot manage without short-term credit. 译：许多小企业没有短期信贷就难以维持。<br>2. Students can manage without expensive courses if they have a clear plan. 译：如果有清晰计划，学生没有昂贵课程也能应付。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
