#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::运动生理学::06物质与能量代谢
#tags column:4
糖类消化后主要以什么形式被吸收？	单糖。	小肠是主要吸收部位。	运动生理学 物质与能量代谢 糖代谢
蛋白质消化后主要以什么形式被吸收？	氨基酸。		运动生理学 物质与能量代谢 蛋白质代谢
脂肪消化后主要形成哪些可吸收物质？	脂肪酸、甘油一酯和甘油等。		运动生理学 物质与能量代谢 脂肪代谢
人体内糖主要以哪三种形式存在？	血糖、肝糖原和肌糖原。		运动生理学 物质与能量代谢 糖代谢
肝糖原的主要运动生理作用是什么？	分解并释放葡萄糖入血，以维持血糖。		运动生理学 物质与能量代谢 糖代谢 肝糖原
肌糖原的主要运动生理作用是什么？	直接为所在肌肉的高强度和中大强度运动供能。	不能直接释放葡萄糖维持全身血糖。	运动生理学 物质与能量代谢 糖代谢 肌糖原
糖供能的主要优点是什么？	需氧相对少、供能速度快，既可无氧供能又可有氧供能。		运动生理学 物质与能量代谢 糖供能
糖供能的主要限制是什么？	体内储备有限，长时间运动中糖原耗竭和低血糖会限制能力。		运动生理学 物质与能量代谢 糖供能
脂肪供能的主要优点是什么？	单位质量能量高、储备量大、可长时间供能。		运动生理学 物质与能量代谢 脂肪供能
脂肪供能的主要限制是什么？	需氧多、供能速度慢，不能满足极高强度运动的快速供能。		运动生理学 物质与能量代谢 脂肪供能
运动持续时间延长时脂肪供能比例为何增加？	肌糖原逐渐消耗，且氧供应相对充分，脂肪动员和氧化增强。		运动生理学 物质与能量代谢 脂肪供能 运动反应
蛋白质在正常运动供能中的地位是什么？	不是主要能源，主要用于组织构成、更新和修复。	易失分点：不能与糖、脂肪并列为同等主要能源。	运动生理学 物质与能量代谢 蛋白质供能 辨析
什么情况下蛋白质供能比例会增加？	长时间运动、糖供应不足或糖脂大量消耗时。		运动生理学 物质与能量代谢 蛋白质供能
运动前补糖的主要目的是什么？	提高运动开始时的糖原储备。		运动生理学 物质与能量代谢 补糖 运动前
运动前补糖的主要时间原则是什么？	一般在运动前2–4小时补充；也可在开始前很短时间少量补充。	避免比赛前约1小时大量补糖引起反应性低血糖风险。	运动生理学 物质与能量代谢 补糖 运动前
运动中补糖的主要目的是什么？	维持血糖、节省肌糖原并延缓疲劳。	尤其适用于持续60–90分钟以上的运动。	运动生理学 物质与能量代谢 补糖 运动中
运动中补糖应遵循什么方式？	低浓度、少量、多次、规律补充。	教材参考：5%–8%糖溶液。	运动生理学 物质与能量代谢 补糖 原则
运动饮料糖浓度过高为什么不利？	会减慢胃排空，影响水和糖的及时吸收。	超过约10%时更明显。	运动生理学 物质与能量代谢 补糖 辨析
运动后补糖的主要目的是什么？	促进肌糖原再合成和恢复。		运动生理学 物质与能量代谢 补糖 运动后
运动后补糖为什么强调尽早开始？	运动后早期糖原合成速率较高，及时补糖有利于恢复。	可在即刻、2小时及随后分次补充。	运动生理学 物质与能量代谢 补糖 运动后
