#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::运动生理学::05呼吸机能
#tags column:4
呼吸的定义是什么？	机体与外界环境之间摄取氧、排出二氧化碳的气体交换过程。		运动生理学 呼吸机能 概念
完整呼吸过程包括哪四个环节？	肺通气、肺换气、气体在血液中的运输和组织换气。	25分题总框架。	运动生理学 呼吸机能 呼吸过程
什么是肺通气？	外界空气与肺泡之间的气体交换。	即吸气和呼气过程。	运动生理学 呼吸机能 肺通气 概念
什么是肺换气？	肺泡气与肺毛细血管血液之间的气体交换。	不要与肺通气混淆。	运动生理学 呼吸机能 肺换气 概念
什么是组织换气？	血液与组织细胞之间的气体交换。		运动生理学 呼吸机能 组织换气 概念
呼吸对运动的核心意义是什么？	保障供氧和有氧代谢，排出二氧化碳并维持酸碱平衡。		运动生理学 呼吸机能 运动意义
吸气时胸廓、肺容积和肺内压如何变化？	胸廓扩大、肺容积增加、肺内压低于大气压，空气进入肺。	压力差是气流动力。	运动生理学 呼吸机能 肺通气 吸气
呼气时胸廓、肺容积和肺内压如何变化？	胸廓缩小、肺弹性回缩、肺内压高于大气压，气体排出。		运动生理学 呼吸机能 肺通气 呼气
每分通气量如何计算？	每分通气量＝潮气量×呼吸频率。		运动生理学 呼吸机能 肺通气 公式
为什么每分通气量不等于有效气体交换量？	部分气体停留在解剖无效腔，不能参与肺泡气体交换。		运动生理学 呼吸机能 肺通气 无效腔
肺泡通气量为何比每分通气量更能反映换气效率？	它扣除了无效腔通气，反映真正到达肺泡并参与交换的气量。		运动生理学 呼吸机能 肺通气 肺泡通气
浅快呼吸为什么通气效率较低？	更多通气用于反复充满无效腔，实际肺泡通气比例下降。	运动和康复呼吸训练常考应用。	运动生理学 呼吸机能 肺通气 辨析
运动中为什么适当加深呼吸比单纯加快呼吸更有效？	可提高进入肺泡的有效气量，增加肺泡通气效率。		运动生理学 呼吸机能 肺通气 运动应用
影响肺通气的主要因素有哪些？	呼吸肌力量、胸廓和肺弹性、气道通畅、神经化学调节及训练水平。	25分影响因素题。	运动生理学 呼吸机能 肺通气 调节因素
氧在血液中有哪两种运输形式？	少量物理溶解于血浆，大部分与血红蛋白结合。		运动生理学 呼吸机能 氧运输
氧在血液中的主要运输形式是什么？	与血红蛋白结合形成氧合血红蛋白。		运动生理学 呼吸机能 氧运输 血红蛋白
肺部为什么有利于血红蛋白结合氧？	肺泡氧分压较高。		运动生理学 呼吸机能 氧运输 肺部
组织处为什么有利于血红蛋白释放氧？	组织氧分压较低。	运动肌氧分压下降更明显。	运动生理学 呼吸机能 氧运输 组织
氧离曲线表示什么关系？	氧分压与血红蛋白氧饱和度之间的关系。	曲线呈 S 形。	运动生理学 呼吸机能 氧离曲线 概念
氧离曲线上段较平坦有什么生理意义？	肺部氧分压一定程度下降时，血红蛋白仍能保持较高氧饱和度。	保障肺部摄氧。	运动生理学 呼吸机能 氧离曲线 意义
氧离曲线下段较陡有什么生理意义？	组织氧分压稍下降即可促进血红蛋白释放较多氧。	保障组织释氧。	运动生理学 呼吸机能 氧离曲线 意义
哪些运动相关因素可使氧离曲线右移？	二氧化碳增多、氢离子增多、温度升高及氧分压下降。	活动肌局部环境。	运动生理学 呼吸机能 氧离曲线 右移
氧离曲线右移对血红蛋白氧亲和力有何影响？	降低氧亲和力。		运动生理学 呼吸机能 氧离曲线 辨析
运动时氧离曲线右移有什么意义？	促进血红蛋白向活动肌释放氧，支持有氧代谢。	机制链：代谢增强→局部变化→右移→释氧。	运动生理学 呼吸机能 氧离曲线 运动意义
呼吸运动主要受哪两类调节？	神经调节和体液化学调节。	2025上体呼吸反射调节高频。	运动生理学 呼吸机能 呼吸调节 上体高频
呼吸节律的基本中枢位于哪里？	脑干。		运动生理学 呼吸机能 呼吸调节 呼吸中枢
运动开始前后的呼吸神经前馈来自哪里？	大脑皮质和运动中枢的下行冲动。	可使呼吸在代谢产物明显变化前迅速增强。	运动生理学 呼吸机能 呼吸调节 前馈
