#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::运动生理学::02骨骼肌机能
#tags column:4
肌小节的定义是什么？	相邻两条 Z 线之间的结构，是骨骼肌收缩的基本结构和功能单位。	25分结构题起点：先下定义，再写肌丝排列与滑行。	运动生理学 骨骼肌机能 肌小节 概念
肌小节中的粗肌丝主要由什么蛋白组成？	肌球蛋白。		运动生理学 骨骼肌机能 肌小节 结构
肌小节中的细肌丝主要由哪些蛋白组成？	肌动蛋白、原肌球蛋白和肌钙蛋白。	后两者属于调节蛋白。	运动生理学 骨骼肌机能 肌小节 结构
肌小节的 A 带主要对应什么区域？	粗肌丝所在区域。		运动生理学 骨骼肌机能 肌小节 结构
肌小节的 I 带主要对应什么区域？	只有细肌丝的区域。		运动生理学 骨骼肌机能 肌小节 结构
肌小节的 H 区有什么结构特点？	只有粗肌丝，没有粗、细肌丝重叠。		运动生理学 骨骼肌机能 肌小节 结构
肌肉收缩时粗、细肌丝本身的长度是否改变？	基本不变。	易失分点：肌肉缩短来自肌丝滑行，不是肌丝本身缩短。	运动生理学 骨骼肌机能 肌丝滑行 辨析
肌丝滑行时细肌丝向哪个方向移动？	向肌小节中央滑行。		运动生理学 骨骼肌机能 肌丝滑行 机制
肌丝滑行如何使整块骨骼肌缩短？	细肌丝向中央滑行，使 Z 线靠近、肌小节缩短，继而使肌原纤维和整块肌肉缩短。	机制链：肌丝滑行→肌小节缩短→肌原纤维缩短→肌肉缩短。	运动生理学 骨骼肌机能 肌丝滑行 机制
肌小节结构对解释运动能力有什么意义？	它把肌肉宏观收缩与粗、细肌丝的微观滑行联系起来。	可进一步联系力量、速度及训练适应。	运动生理学 骨骼肌机能 肌小节 意义
什么是神经—肌肉接头？	运动神经末梢与骨骼肌细胞膜之间传递兴奋的部位，又称运动终板。		运动生理学 骨骼肌机能 神经肌肉接头 概念
神经—肌肉接头由哪三部分组成？	突触前膜、突触间隙和突触后膜。		运动生理学 骨骼肌机能 神经肌肉接头 结构
神经—肌肉接头的突触前小泡储存什么递质？	乙酰胆碱。		运动生理学 骨骼肌机能 神经肌肉接头 结构
神经—肌肉接头的乙酰胆碱受体位于哪里？	肌细胞膜上的突触后膜。		运动生理学 骨骼肌机能 神经肌肉接头 结构
动作电位到达运动神经末梢后首先引起什么离子变化？	突触前膜钙通道开放，钙离子进入神经末梢。	传递机制第一步。	运动生理学 骨骼肌机能 神经肌肉接头 机制
