#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::运动生理学::07肾脏功能
#tags column:4
人体代谢产物和异物主要经哪四条途径排出？	呼吸器官、消化道、皮肤和肾脏。		运动生理学 肾脏功能 排泄
呼吸器官主要排出哪些代谢产物？	二氧化碳、水和挥发性物质。		运动生理学 肾脏功能 排泄
皮肤主要通过什么方式参与排泄？	汗腺分泌汗液，排出水、少量尿素和盐类。		运动生理学 肾脏功能 排泄
肾脏主要排出哪些物质？	尿素、尿酸、肌酐、多余水分和盐类等。	肾脏是最主要的排泄器官。	运动生理学 肾脏功能 排泄
为什么食物残渣排出不属于严格意义的排泄？	食物残渣未参与细胞代谢，也未由血液运送到排泄器官。	排泄不同于排遗。	运动生理学 肾脏功能 排泄 辨析
肾单位的地位是什么？	肾脏的基本结构和功能单位。		运动生理学 肾脏功能 肾单位
肾单位由哪两部分组成？	肾小体和肾小管。		运动生理学 肾脏功能 肾单位 结构
肾小体由哪两部分组成？	肾小球和肾小囊。		运动生理学 肾脏功能 肾单位 结构
肾小管包括哪些部分？	近曲小管、髓袢和远曲小管。	集合管不属于肾单位，但与其功能密切。	运动生理学 肾脏功能 肾单位 结构
肾小球的入、出血管分别是什么？	入球小动脉进入形成毛细血管网，再汇成出球小动脉。		运动生理学 肾脏功能 肾小球 结构
肾小球滤过膜由哪三层构成？	肾小球毛细血管内皮、基膜和肾小囊内层上皮。	结构题高频。	运动生理学 肾脏功能 滤过膜 结构
尿液从肾小囊到体外依次经过哪些结构？	近曲小管→髓袢→远曲小管→集合管→肾盏→肾盂→输尿管→膀胱→尿道。		运动生理学 肾脏功能 尿液路径
肾脏血液循环有哪些主要特点？	血流量大、连续经过两套毛细血管网、肾小球毛细血管压高。	25分结构—功能题框架。	运动生理学 肾脏功能 肾循环
肾脏第一套毛细血管网的主要功能是什么？	肾小球毛细血管网主要完成血浆滤过。		运动生理学 肾脏功能 肾循环
肾脏第二套毛细血管网的主要功能是什么？	肾小管周围毛细血管网主要参与重吸收和分泌。		运动生理学 肾脏功能 肾循环
肾小球毛细血管压为什么较高？	入球小动脉较粗短，出球小动脉较细长，形成较高滤过压力。	结构适应滤过功能。	运动生理学 肾脏功能 肾循环 机制
