#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::人体解剖学::01解剖学总论
#tags column:4
人体解剖学的研究对象是什么？	正常人体的形态结构及其相互关系。	上体答题需继续联系结构、功能、运动和康复意义。	人体解剖学 解剖学总论 概念
人体结构从微观到宏观分为哪四个层级？	细胞→组织→器官→系统。		人体解剖学 解剖学总论 人体构成
人体结构和功能的基本单位是什么？	细胞。		人体解剖学 解剖学总论 人体构成
组织的定义是什么？	形态相似、功能相关的细胞和细胞间质构成的结构。		人体解剖学 解剖学总论 人体构成
人体四大基本组织是什么？	上皮组织、结缔组织、肌组织和神经组织。		人体解剖学 解剖学总论 人体构成
器官的定义是什么？	几种组织按一定方式组合、具有特定形态和功能的结构。		人体解剖学 解剖学总论 人体构成
系统的定义是什么？	多个器官共同完成某一类功能所形成的整体。		人体解剖学 解剖学总论 人体构成
运动系统由哪些部分构成？	骨、骨连结和骨骼肌。	骨是杠杆，关节是枢纽，肌肉提供动力。	人体解剖学 解剖学总论 运动系统
标准解剖学姿势包括哪些要点？	直立、面向前、两眼平视、上肢下垂、掌心向前、下肢靠近、足尖向前。	所有方位术语均以此为参照。	人体解剖学 解剖学总论 解剖学姿势 上体高频
为什么运动中的人体仍要以标准解剖学姿势描述方位？	标准姿势提供统一且不随动作改变的参照系，避免方位描述混乱。		人体解剖学 解剖学总论 解剖学姿势 意义
正中面的定义是什么？	通过人体正中，将身体分成左右相等两半的矢状面。	正中面是特殊的矢状面。	人体解剖学 解剖学总论 平面
上方与下方如何区分？	靠近头侧为上方，靠近足侧为下方。		人体解剖学 解剖学总论 方位术语
前方与后方如何区分？	靠近腹侧或面向的一侧为前方，靠近背侧为后方。		人体解剖学 解剖学总论 方位术语
内侧与外侧如何区分？	靠近身体正中面为内侧，远离正中面为外侧。	不以观察者左右为参照。	人体解剖学 解剖学总论 方位术语
近侧与远侧如何区分？	靠近肢体根部为近侧，远离肢体根部为远侧。	多用于四肢；近远不等于上下。	人体解剖学 解剖学总论 方位术语
浅与深如何区分？	靠近体表为浅，远离体表为深。	浅深与内外侧是不同维度。	人体解剖学 解剖学总论 方位术语
解剖学姿势下拇指位于手的内侧还是外侧？	外侧。	掌心向前是判断关键。	人体解剖学 解剖学总论 方位术语 辨析
矢状面把人体分成哪两部分？	左右两部分。	典型运动为屈曲和伸展。	人体解剖学 解剖学总论 面轴
冠状面把人体分成哪两部分？	前后两部分。	又称额状面；典型运动为外展和内收。	人体解剖学 解剖学总论 面轴
水平面把人体分成哪两部分？	上下两部分。	典型运动为旋转和水平收展。	人体解剖学 解剖学总论 面轴
矢状面运动通常围绕什么轴？	内外轴，又称额状轴。	平面与轴互相垂直。	人体解剖学 解剖学总论 面轴
冠状面运动通常围绕什么轴？	前后轴，又称矢状轴。		人体解剖学 解剖学总论 面轴
水平面运动通常围绕什么轴？	垂直轴或纵轴。		人体解剖学 解剖学总论 面轴
运动平面与运动轴之间是什么关系？	互相垂直。	动作分析必须同时写平面与轴。	人体解剖学 解剖学总论 面轴 上体高频
肘关节屈伸发生在哪个平面、围绕什么轴？	矢状面，围绕内外轴。	完整句式：肘关节在矢状面绕内外轴完成屈伸。	人体解剖学 解剖学总论 面轴 应用
肩关节外展发生在哪个平面、围绕什么轴？	冠状面，围绕前后轴。		人体解剖学 解剖学总论 面轴 应用
躯干旋转发生在哪个平面、围绕什么轴？	水平面，围绕垂直轴。		人体解剖学 解剖学总论 面轴 应用
深蹲的髋膝屈伸主要发生在哪个平面？	矢状面。	围绕内外轴。	人体解剖学 解剖学总论 面轴 动作分析
屈曲与伸展通常如何改变相邻骨之间的角度？	屈曲使角度减小，伸展使角度增大。	需结合具体关节判断。	人体解剖学 解剖学总论 基本运动
外展与内收如何区分？	远离身体正中线为外展，靠近正中线为内收。	手指和足趾有各自参考线。	人体解剖学 解剖学总论 基本运动
内旋与外旋如何区分？	骨段绕纵轴旋转，使其前面朝向内侧为内旋、朝向外侧为外旋。		人体解剖学 解剖学总论 基本运动
什么是环转运动？	屈、伸、外展和内收连续组合，使肢体远端描绘圆形或锥形轨迹。	不是独立的第四个运动轴。	人体解剖学 解剖学总论 基本运动
前臂旋前与旋后如何区分？	从解剖学姿势出发，掌心转向后或下为旋前，转向前或上为旋后。		人体解剖学 解剖学总论 特殊运动
踝背屈与跖屈如何区分？	足背靠近小腿前方为背屈，脚尖下压或提踵为跖屈。		人体解剖学 解剖学总论 特殊运动
腕关节桡偏与尺偏如何区分？	手向桡骨侧偏为桡偏，向尺骨侧偏为尺偏。		人体解剖学 解剖学总论 特殊运动
足内翻与外翻如何区分？	足底朝向内侧为内翻，朝向外侧为外翻。	踝扭伤分析的基础术语。	人体解剖学 解剖学总论 特殊运动
动作解剖学分析的最小顺序是什么？	动作阶段→关节→平面和轴→运动方向→主要肌肉→工作性质→训练或康复意义。	50分动作分析的通用骨架。	人体解剖学 解剖学总论 动作分析 大题框架 上体高频
为什么动作分析不能只写肌肉名称？	必须说明肌肉跨越的关节、运动方向、工作性质及其稳定或动力作用。	结构—运动—肌肉—功能链。	人体解剖学 解剖学总论 动作分析
分析关节运动时的规范句式是什么？	某关节在某平面、围绕某轴、完成某方向运动。	随后补主要肌肉和收缩性质。	人体解剖学 解剖学总论 动作分析
试述解剖学总论知识用于动作分析的答题主线？	以标准姿势确定方位→识别关节和骨段→确定平面与轴→命名运动方向→分析肌肉工作→联系技术、代偿和康复。	适用于25/50分总论与动作分析题。	人体解剖学 解剖学总论 大题框架 上体高频
