#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::运动生理学::09感觉机能
#tags column:4
感受器的定义是什么？	专门感受机体内外环境变化并将刺激信息转为神经信号的结构或装置。		运动生理学 感觉机能 感受器 概念
外感受器主要感受什么？	外界环境变化，如光、声、触压和温度。		运动生理学 感觉机能 感受器 分类
内感受器主要包括哪些类型？	本体感受器、内脏感受器和平衡感受器等。		运动生理学 感觉机能 感受器 分类
感觉器官的定义是什么？	由感受器及其附属装置共同构成的结构。	如眼、耳和前庭器官。	运动生理学 感觉机能 感觉器官 概念
感觉的定义是什么？	客观事物在人脑中的主观反映。		运动生理学 感觉机能 感觉 概念
感觉形成的一般信息链是什么？	刺激→感受器换能→传入神经冲动→特定中枢通路→大脑皮质分析→感觉。	25分机制总框架。	运动生理学 感觉机能 感觉形成
感受器的一般生理特征有哪些？	适宜刺激、换能作用、编码作用和适应现象。	易失分点：四项必须齐全。	运动生理学 感觉机能 感受器 特征
什么是感受器的适宜刺激？	某种感受器最敏感、以最小强度即可引起反应的特定形式刺激。	非适宜刺激也可引起反应，但需更强刺激。	运动生理学 感觉机能 感受器 适宜刺激
什么是感受器的换能作用？	把光、声、机械力等刺激能量转换为神经系统可传递的电信号。	通常先产生感受器电位，再引发动作电位。	运动生理学 感觉机能 感受器 换能
感受器编码包含哪些刺激信息？	刺激的性质、强度、时间和部位。		运动生理学 感觉机能 感受器 编码
刺激强度通常如何被神经系统编码？	通过动作电位频率和参与传导的神经纤维数量编码。	单个动作电位幅度不随刺激强度连续增大。	运动生理学 感觉机能 感受器 编码
什么是感受器适应？	恒定刺激持续作用时，感受器传入冲动频率逐渐降低。		运动生理学 感觉机能 感受器 适应
快适应感受器主要适合传递什么信息？	刺激开始、结束和快速变化的信息。		运动生理学 感觉机能 感受器 适应
慢适应感受器主要适合传递什么信息？	持续存在的状态信息。	如肌梭和压力感受器持续监测姿势或压力。	运动生理学 感觉机能 感受器 适应
视觉器官由哪两套系统组成？	折光系统和感光系统。		运动生理学 感觉机能 视觉 结构
眼的折光系统包括哪些结构？	角膜、房水、晶状体和玻璃体。	作用是使光线折射并在视网膜成像。	运动生理学 感觉机能 视觉 折光系统
眼的感光系统主要由什么构成？	视网膜上的视杆细胞和视锥细胞。	完成光电换能。	运动生理学 感觉机能 视觉 感光系统
视觉形成的传导过程是什么？	光线经折光系统成像→视网膜换能→视神经冲动→丘脑→大脑皮质视区。		运动生理学 感觉机能 视觉 形成机制
视杆细胞主要承担什么视觉功能？	弱光下的暗视觉，无色觉且精细分辨率较低。		运动生理学 感觉机能 视觉 视杆细胞
视锥细胞主要承担什么视觉功能？	明视觉、色觉和精细分辨。		运动生理学 感觉机能 视觉 视锥细胞
运动技能学习早期为什么视觉常占主导？	学习者需通过观察示范和环境信息建立动作表象并校正动作。	技能熟练后视觉依赖逐渐下降。	运动生理学 感觉机能 视觉 运动应用
双眼视觉对运动有什么优势？	扩大视野、弥补盲区并形成立体视觉。	有利于判断距离、速度和空间关系。	运动生理学 感觉机能 视觉 双眼视觉
立体视觉对哪些运动任务尤其重要？	接球、击球、投掷、跳跃等需要精确时空判断的任务。		运动生理学 感觉机能 视觉 运动应用
视觉在维持平衡中有什么作用？	提供身体与环境空间关系信息，辅助姿势校正。	快速或闭眼活动更依赖前庭觉和本体感觉。	运动生理学 感觉机能 视觉 平衡
听觉的适宜刺激是什么？	空气振动形成的声波。		运动生理学 感觉机能 听觉
听觉形成的基本传导过程是什么？	声波→外耳道→鼓膜→听骨链→内耳液和基底膜振动→毛细胞换能→听神经→皮质听区。		运动生理学 感觉机能 听觉 形成机制
听觉在运动教学中的主要作用是什么？	接受语言讲解、口令和节奏信息，帮助理解动作并控制节奏。		运动生理学 感觉机能 听觉 运动应用
音乐可能如何影响运动训练？	调节情绪、动作节奏和疲劳恢复。	效果受个体和任务影响。	运动生理学 感觉机能 听觉 音乐
强噪声可能如何影响运动表现？	引起烦躁和心血管波动，并干扰注意、口令识别和动作控制。	可进行比赛噪声适应训练。	运动生理学 感觉机能 听觉 噪声
位觉的定义是什么？	身体变速运动或头位改变时，由前庭感受器兴奋产生的空间位置和运动感觉。	又称前庭感觉。	运动生理学 感觉机能 位觉 概念
前庭器官的主要感受结构有哪些？	三个半规管、椭圆囊和球囊。	感受细胞均为毛细胞。	运动生理学 感觉机能 前庭器官 结构
半规管壶腹嵴的适宜刺激是什么？	旋转运动的正、负角加速度。	易失分点：半规管管旋转加速度。	运动生理学 感觉机能 前庭器官 半规管
半规管如何感受旋转加速度？	头部旋转使内淋巴相对流动、终帽移位并弯曲毛细胞纤毛，产生神经冲动。		运动生理学 感觉机能 前庭器官 半规管 机制
椭圆囊和球囊的适宜刺激是什么？	直线加速度和头部相对重力方向的位置变化。	易失分点：耳石器管直线加速度和头位。	运动生理学 感觉机能 前庭器官 耳石器
耳石器如何感受直线加速度和头位？	惯性或重力使耳石膜移位，牵拉毛细胞纤毛并产生神经冲动。		运动生理学 感觉机能 前庭器官 耳石器 机制
前庭器官受到过强或过久刺激可出现哪些反应？	眩晕、恶心、呕吐、出汗和心率变化等。		运动生理学 感觉机能 前庭反应
什么是前庭功能稳定性？	机体受到前庭刺激后产生反应的程度；反应越小，稳定性通常越高。		运动生理学 感觉机能 前庭功能
什么是前庭适应？	反复接受旋转、翻腾或变速刺激后，前庭不适反应逐渐减小。		运动生理学 感觉机能 前庭功能 训练适应
前庭训练对运动技能有什么意义？	减少眩晕，提高空间定向、平衡和复杂空间动作稳定性。	适用于体操、跳水、冰雪和球类等。	运动生理学 感觉机能 前庭功能 运动应用
本体感觉的定义是什么？	由肌肉、肌腱和关节等本体感受器产生的身体位置和运动状态感觉。	又称运动觉。	运动生理学 感觉机能 本体感觉 概念
主要本体感受器有哪些？	肌梭、腱梭及关节相关感受器。	本章重点为肌梭和腱梭。	运动生理学 感觉机能 本体感受器
肌梭在肌肉中的排列特点是什么？	位于肌肉内并与普通肌纤维平行排列。		运动生理学 感觉机能 本体感受器 肌梭
肌梭主要感受什么？	肌肉长度及其变化。	长度感受器，参与牵张反射和肌张力调节。	运动生理学 感觉机能 本体感受器 肌梭
腱梭主要感受什么？	肌腱张力变化。	张力感受器。	运动生理学 感觉机能 本体感受器 腱梭
腱梭为什么被视为肌肉安全机制？	张力过大时可抑制主动肌活动，降低肌肉和肌腱损伤风险。		运动生理学 感觉机能 本体感受器 腱梭 保护
肌梭与腱梭在感受对象上有何区别？	肌梭感受长度变化，腱梭感受张力变化。	长度 vs 张力。	运动生理学 感觉机能 本体感受器 辨析
本体感觉如何提高动作准确性？	持续反馈肌肉长度、张力、关节位置、方向和速度，供中枢实时校正。		运动生理学 感觉机能 本体感觉 动作反馈
动作技能熟练后为什么可减少视觉依赖？	高度发展的本体感觉和已形成的运动程序可快速自动控制动作。	技能形成：视觉主导→多感觉校正→本体感觉自动化。	运动生理学 感觉机能 本体感觉 技能形成
哪些训练可发展本体感觉？	反复专项练习、模仿练习、平衡练习及闭眼或减少视觉依赖练习。	需保证安全并循序渐进。	运动生理学 感觉机能 本体感觉 训练方法
正常姿势和平衡主要依赖哪三类感觉协同？	视觉、前庭觉和本体感觉。	任何单一系统受限时，其他系统可部分代偿。	运动生理学 感觉机能 多感觉协同 平衡
