pipe dream	<b>核心意思</b>：不切实际的幻想；几乎不可能实现的愿望。<br><b>原文句</b>：Truly sovereign AI, independent of America and China, is a pipe dream.<br>译：真正独立于美国和中国的主权 AI 是幻想。<br><b>怎么记</b>：pipe dream 原指吸食鸦片后的幻梦，现代英语指“不现实的想法”。<br><b>怎么考</b>：态度题中表示作者强烈否定某个目标的现实性。<br><b>真实例句</b>：<br>1. A city without any traffic jams is a pipe dream. 译：一个完全没有交通拥堵的城市是不切实际的幻想。<br>2. Perfect equality of opportunity remains a pipe dream without serious reform. 译：没有严肃改革，完全机会平等仍是不切实际的幻想。	<b>作文可用</b>：A society free from all technological risks is a pipe dream, but better governance can reduce harm. 译：一个完全没有技术风险的社会是幻想，但更好的治理可以减少伤害。	外刊精读
a degree of self-sufficiency	<b>核心意思</b>：一定程度的自给自足；有限自主能力。<br><b>原文句</b>：But a degree of self-sufficiency is possible outside America and China.<br>译：但在美国和中国之外，一定程度的自给自足是可能的。<br><b>怎么记</b>：degree = 程度；self-sufficiency = 自给自足。<br><b>怎么考</b>：翻译中要译出“有限程度”，不是绝对独立。<br><b>真实例句</b>：<br>1. A degree of self-sufficiency can protect families from sudden shocks. 译：一定程度的自给能力可以保护家庭免受突然冲击。<br>2. Schools should help students develop a degree of self-sufficiency. 译：学校应帮助学生发展一定程度的自立能力。	<b>作文可用</b>：In education, a degree of self-sufficiency is possible if students learn how to think independently. 译：在教育中，如果学生学会独立思考，一定程度的自立是可能的。	外刊精读
in attendance	<b>核心意思</b>：出席；在场。<br><b>原文句</b>：It was not just presidents and prime ministers in attendance.<br>译：到场的不只是总统和总理。<br><b>怎么记</b>：attendance = 出席；in attendance 常放在 be 动词后。<br><b>怎么考</b>：新闻类文章中用于介绍会议参与者。<br><b>真实例句</b>：<br>1. Several experts were in attendance at the hearing. 译：几位专家出席了听证会。<br>2. Parents were in attendance at the school meeting. 译：家长们出席了学校会议。		外刊精读
political bigwigs	<b>核心意思</b>：政治大人物；政界要人。<br><b>原文句</b>：The bosses of America’s leading artificial-intelligence firms were seated alongside the political bigwigs.<br>译：美国领先 AI 公司的老板们同政治大人物坐在一起。<br><b>怎么记</b>：bigwig 是略口语的“要人/大人物”，常带轻微调侃。<br><b>怎么考</b>：外刊语气词，常用于判断作者略带讽刺的笔调。<br><b>真实例句</b>：<br>1. Tech executives met political bigwigs in Washington. 译：科技高管在华盛顿会见政界要人。<br>2. Local bigwigs attended the opening ceremony. 译：当地要人参加了开幕式。		外刊精读
butter up	<b>核心意思</b>：讨好；奉承；拍马屁。<br><b>原文句</b>：Even the stewards of the mightiest economies, it turns out, are buttering up the potentates of AI.<br>译：事实证明，即便是最强大经济体的管理者，也在讨好 AI 权贵。<br><b>怎么记</b>：butter up 是口语短语，像“给面包抹黄油”一样让对方舒服。<br><b>怎么考</b>：态度题中体现作者讽刺：政府领导人也要讨好 AI 公司。<br><b>真实例句</b>：<br>1. The supplier tried to butter up the manager with gifts. 译：供应商试图用礼物讨好经理。<br>2. Politicians often butter up voters before elections. 译：政客们常在选举前讨好选民。		外刊精读
potentates of AI	<b>核心意思</b>：AI 权贵；掌握巨大 AI 权力的人。<br><b>原文句</b>：Even the stewards of the mightiest economies are buttering up the potentates of AI.<br>译：即便是最强大经济体的管理者，也在讨好 AI 权贵。<br><b>怎么记</b>：potentate = ruler/powerful person，正式且带夸张色彩。<br><b>怎么考</b>：作者用政治君主词汇描写企业家，暗示 AI 公司权力过大。<br><b>真实例句</b>：<br>1. The potentates of finance gathered at the conference. 译：金融权贵聚集在会议上。<br>2. Some technology potentates now influence public policy. 译：一些科技权贵如今影响公共政策。		外刊精读
bar sb from doing sth	<b>核心意思</b>：禁止某人做某事。<br><b>原文句</b>：America’s government had barred Anthropic from making its most advanced model available to foreigners.<br>译：美国政府禁止 Anthropic 向外国人提供其最先进模型。<br><b>怎么记</b>：bar = block/prevent；结构是 bar sb from doing sth。<br><b>怎么考</b>：法律政策类阅读中高频，常表示禁令。<br><b>真实例句</b>：<br>1. The rule bars companies from selling data without consent. 译：该规则禁止公司未经同意出售数据。<br>2. Students were barred from using phones during the exam. 译：学生被禁止在考试期间使用手机。		外刊精读
impose restrictions on	<b>核心意思</b>：对……施加限制。<br><b>原文句</b>：OpenAI soon imposed similar restrictions on some of its frontier systems.<br>译：OpenAI 很快也对部分前沿系统实施了类似限制。<br><b>怎么记</b>：impose = 强加/实施；restriction = 限制。<br><b>怎么考</b>：政策细节题中常问政府或公司采取了什么措施。<br><b>真实例句</b>：<br>1. The city imposed restrictions on water use during the drought. 译：干旱期间该市对用水实施限制。<br>2. The platform imposed restrictions on political advertising. 译：该平台对政治广告施加限制。		外刊精读
turn a simmering concern into a burning one	<b>核心意思</b>：把正在发酵的担忧变成迫切问题。<br><b>原文句</b>：The move turned a simmering concern into a burning one.<br>译：此举把一个原本正在发酵的担忧变成了迫在眉睫的问题。<br><b>怎么记</b>：simmering = 慢慢发酵的；burning = 紧迫的。<br><b>怎么考</b>：段落推进题：说明事件让原本潜在问题升级。<br><b>真实例句</b>：<br>1. A data leak turned a simmering concern into a burning one. 译：一次数据泄露把正在发酵的担忧变成了迫切问题。<br>2. Rising rents turned a simmering complaint into a burning political issue. 译：租金上涨把正在发酵的不满变成了紧迫政治问题。		外刊精读
home-grown AI firms	<b>核心意思</b>：本土 AI 公司。<br><b>原文句</b>：Might countries without their own, home-grown AI firms end up excluded from the world-changing technology?<br>译：没有本土 AI 公司的国家会不会最终被排除在这项改变世界的技术之外？<br><b>怎么记</b>：home-grown = 本土培养/本国产的，不是“家里种的”。<br><b>怎么考</b>：经济科技文章中常与 industry, talent, firms 搭配。<br><b>真实例句</b>：<br>1. The country wants to support home-grown technology firms. 译：该国想支持本土科技公司。<br>2. Home-grown brands are becoming more competitive. 译：本土品牌正变得更有竞争力。		外刊精读
turn off the switch at will	<b>核心意思</b>：随意关掉开关；随时切断服务。<br><b>原文句</b>：Emmanuel Macron warned that no one would buy American AI if it could “turn off the switch” at will.<br>译：Macron 警告说，如果美国 AI 可以随意关掉开关，就不会有人购买它。<br><b>怎么记</b>：at will = whenever one wants；switch 是控制权隐喻。<br><b>怎么考</b>：科技依赖类文章中常表示对“被切断访问”的恐惧。<br><b>真实例句</b>：<br>1. A platform should not be able to turn off the switch at will. 译：平台不应能够随意关掉开关。<br>2. Dependence on one supplier is risky if it can turn off the switch at will. 译：如果一个供应商可以随意切断服务，依赖它就很危险。		外刊精读
pin one’s hopes on	<b>核心意思</b>：把希望寄托在……上。<br><b>原文句</b>：Governments are increasingly pinning their hopes on “sovereign AI”.<br>译：各国政府越来越把希望寄托在“主权 AI”上。<br><b>怎么记</b>：pin = 固定；把 hopes “钉”在某物上，即寄托希望。<br><b>怎么考</b>：阅读中常暗示这个希望未必可靠。<br><b>真实例句</b>：<br>1. Many parents pin their hopes on education. 译：许多父母把希望寄托在教育上。<br>2. Some cities pin their hopes on tourism to revive the economy. 译：一些城市把复兴经济的希望寄托在旅游业上。	<b>作文可用</b>：We should not pin all our hopes on technology while ignoring human responsibility. 译：我们不应把所有希望都寄托在技术上而忽视人的责任。	外刊精读
limit dependence on	<b>核心意思</b>：限制对……的依赖。<br><b>原文句</b>：Countries should limit their dependence on foreign providers of AI.<br>译：各国应限制本国对外国 AI 提供商的依赖。<br><b>怎么记</b>：dependence on = 对……的依赖；limit 强调降低而非消除。<br><b>怎么考</b>：科技、能源、教育资源话题都可迁移。<br><b>真实例句</b>：<br>1. Schools should limit dependence on test scores alone. 译：学校应限制对考试分数单一指标的依赖。<br>2. Countries try to limit dependence on imported energy. 译：各国试图减少对进口能源的依赖。	<b>作文可用</b>：A healthy society should limit dependence on any single technology or platform. 译：健康社会应减少对任何单一技术或平台的依赖。	外刊精读
initiatives are proliferating	<b>核心意思</b>：倡议/项目正在迅速增多。<br><b>原文句</b>：Announcements of such initiatives are proliferating.<br>译：此类倡议的公告正在迅速增多。<br><b>怎么记</b>：proliferate = increase rapidly，常用于项目、武器、规则、平台快速扩散。<br><b>怎么考</b>：阅读中表示趋势扩大，通常需要判断利弊。<br><b>真实例句</b>：<br>1. Online courses are proliferating across universities. 译：在线课程正在各大学迅速增多。<br>2. Plastic bans are proliferating in many cities. 译：塑料禁令正在许多城市迅速增多。		外刊精读
reduce reliance on	<b>核心意思</b>：减少对……的依赖。<br><b>原文句</b>：Canada has launched its own plan to reduce reliance on American technology providers.<br>译：加拿大推出了自己的计划，以减少对美国技术提供商的依赖。<br><b>怎么记</b>：reliance on 与 dependence on 接近，更正式。<br><b>怎么考</b>：翻译题中常译为“减少依赖”，不要译成“信赖”。<br><b>真实例句</b>：<br>1. Public transport can reduce reliance on private cars. 译：公共交通可以减少对私家车的依赖。<br>2. Reading widely can reduce reliance on short videos for information. 译：广泛阅读可以减少对短视频获取信息的依赖。	<b>作文可用</b>：Education should reduce reliance on rote memorisation and encourage independent thinking. 译：教育应减少对死记硬背的依赖，并鼓励独立思考。	外刊精读
state-backed AI projects	<b>核心意思</b>：国家支持型 AI 项目。<br><b>原文句</b>：The number of state-backed AI projects outside America and China grew fivefold over the course of 2024 and 2025.<br>译：2024 至 2025 年期间，美国和中国以外的国家支持型 AI 项目数量增长了五倍。<br><b>怎么记</b>：state-backed = supported by government。<br><b>怎么考</b>：政策类阅读中用于判断政府是否直接介入产业。<br><b>真实例句</b>：<br>1. State-backed projects can mobilise large amounts of capital. 译：国家支持型项目可以调动大量资本。<br>2. Some state-backed projects fail because they ignore market demand. 译：一些国家支持型项目因忽视市场需求而失败。		外刊精读
grow fivefold	<b>核心意思</b>：增长五倍。<br><b>原文句</b>：The number of state-backed AI projects outside America and China grew fivefold.<br>译：美国和中国以外的国家支持型 AI 项目数量增长了五倍。<br><b>怎么记</b>：-fold 表示“倍数”，fivefold = five times。<br><b>怎么考</b>：数据题中注意是倍数增长，不是增加 5%。<br><b>真实例句</b>：<br>1. The cost of storage fell as demand grew fivefold. 译：随着需求增长五倍，存储成本下降。<br>2. Applications to the programme grew fivefold in two years. 译：该项目申请数两年内增长了五倍。		外刊精读
prohibitively expensive	<b>核心意思</b>：贵得令人难以承受；成本高到阻止人去做。<br><b>原文句</b>：Most governments will find it prohibitively expensive to achieve anything remotely resembling AI sovereignty.<br>译：大多数政府会发现，要实现任何稍微像 AI 主权的东西，成本都高得令人难以承受。<br><b>怎么记</b>：prohibitively = expensive enough to prohibit action。<br><b>怎么考</b>：经济类阅读中常表示方案理论可行但现实不可行。<br><b>真实例句</b>：<br>1. Private tutoring can be prohibitively expensive for poor families. 译：私人辅导对贫困家庭来说可能贵得难以承受。<br>2. Building a new subway line is prohibitively expensive for small cities. 译：修建新地铁线对小城市来说成本高得难以承受。		外刊精读
technological dominion	<b>核心意思</b>：技术支配地位；技术控制权。<br><b>原文句</b>：America’s willingness to use its technological dominion as a weapon.<br>译：美国愿意把自己的技术支配地位当作武器使用。<br><b>怎么记</b>：dominion = rule/control；比 advantage 更强，带控制意味。<br><b>怎么考</b>：态度题中有批判色彩，暗示技术优势被武器化。<br><b>真实例句</b>：<br>1. A few platforms enjoy technological dominion over online speech. 译：少数平台对网络言论享有技术支配地位。<br>2. Technological dominion can become a source of political pressure. 译：技术支配地位可能成为政治压力来源。		外刊精读
