#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::人体解剖学::02骨学总论
#tags column:4
为什么说骨是器官而不是没有生命的硬块？	骨由多种组织构成，具有血管、神经、代谢、生长、修复和改建能力。	2023上体骨结构题的总论起点。	人体解剖学 骨学总论 骨的本质 上体高频
骨按部位可分为哪两类？	中轴骨和附肢骨。		人体解剖学 骨学总论 骨分类
中轴骨主要包括哪些部分？	颅骨、脊柱和胸廓相关骨。	功能偏向支持和保护。	人体解剖学 骨学总论 中轴骨
附肢骨主要包括哪些部分？	上肢骨、下肢骨以及连接四肢与躯干的带骨。	功能更突出运动杠杆作用。	人体解剖学 骨学总论 附肢骨
骨按形态可分为哪四类？	长骨、短骨、扁骨和不规则骨。	分类题要配例子和功能意义。	人体解剖学 骨学总论 骨分类
长骨的主要形态特点是什么？	一体两端，骨干较长，通常具有骨干和骨骺。		人体解剖学 骨学总论 长骨
长骨为什么适合作为运动杠杆？	长轴明显，可在肌力作用下围绕关节产生较大范围和速度的骨段运动。	如肱骨、股骨和胫骨。	人体解剖学 骨学总论 长骨 杠杆
短骨的形态和功能特点是什么？	形态近似立方体，常多块排列，适合承压、缓冲和小幅多方向调整。	如腕骨和跗骨。	人体解剖学 骨学总论 短骨
扁骨的形态和功能特点是什么？	薄而宽，主要用于保护、构成腔壁、造血和提供肌肉附着面。	如颅盖骨、胸骨、肋骨和肩胛骨。	人体解剖学 骨学总论 扁骨
不规则骨的形态和功能特点是什么？	形态复杂，常兼有承重、保护、连接和运动功能。	如椎骨、髋骨和蝶骨。	人体解剖学 骨学总论 不规则骨
骨的基本构造包括哪些部分？	骨膜、骨质和骨髓，并有血管、神经和淋巴管分布。	2023上体结构题必写。	人体解剖学 骨学总论 骨构造 上体高频
骨膜通常覆盖骨的哪些部位？	覆盖骨外表面，但关节面除外。	关节面覆盖关节软骨。	人体解剖学 骨学总论 骨膜
骨膜的主要功能有哪些？	营养、感觉、修复、再生和骨的增粗生长。	含血管、神经和成骨相关细胞。	人体解剖学 骨学总论 骨膜
为什么骨膜损伤或牵拉时疼痛明显？	骨膜神经分布丰富，对疼痛刺激敏感。		人体解剖学 骨学总论 骨膜 康复意义
骨质分为哪两类？	骨密质和骨松质。		人体解剖学 骨学总论 骨质
骨密质主要分布在哪里？	骨表面及长骨骨干。		人体解剖学 骨学总论 骨密质
骨密质的主要力学功能是什么？	承受压力、弯曲和扭转载荷，提供坚固支撑。		人体解剖学 骨学总论 骨密质 力学
骨松质主要分布在哪里？	长骨骨骺以及短骨、扁骨和不规则骨内部。		人体解剖学 骨学总论 骨松质
骨松质由什么结构构成？	骨小梁组成的网架结构。		人体解剖学 骨学总论 骨松质
骨小梁沿主要应力方向排列有什么意义？	在减轻骨重量的同时提高承载和传力效率。	体现结构对力学环境的适应。	人体解剖学 骨学总论 骨松质 骨改建 上体高频
骨密质与骨松质的核心区别是什么？	骨密质致密、主要承担强度；骨松质为小梁网架、兼顾轻量和多向传力。	比较位置—结构—功能三方面。	人体解剖学 骨学总论 骨质 辨析
红骨髓的主要功能是什么？	造血。	成人主要存在于部分扁骨、不规则骨和长骨骨骺松质内。	人体解剖学 骨学总论 骨髓
黄骨髓的主要组成和功能是什么？	以脂肪组织为主，主要储存脂肪。		人体解剖学 骨学总论 骨髓
骨的有机质主要决定哪些物理特性？	韧性、弹性和抗拉能力。	以骨胶原为代表。	人体解剖学 骨学总论 理化特性 有机质
骨的无机质主要决定哪些物理特性？	硬度和抗压能力。	以钙盐、磷盐为主。	人体解剖学 骨学总论 理化特性 无机质
为什么骨必须同时含有有机质和无机质？	有机质提供韧性，无机质提供硬度，二者共同使骨既坚固又不易脆裂。	结构—材料—力学功能链。	人体解剖学 骨学总论 理化特性 辨析
儿童骨的理化特点是什么？	有机质比例相对较高，弹性和柔韧性较好，但硬度相对低。	更易发生弯曲变形或青枝骨折。	人体解剖学 骨学总论 年龄差异 儿童
老年骨为什么更容易发生脆性骨折？	骨量和骨结构退变、有机质减少，使骨脆性增加。	不能只解释为“无机质多”。	人体解剖学 骨学总论 年龄差异 老年
骨的主要力学性能包括哪些？	硬度、弹性以及抗压、抗拉、抗弯和抗扭能力。		人体解剖学 骨学总论 力学特性
长骨长度增长主要与什么结构有关？	骺软骨。	骺软骨骨化闭合后形成骺线，长度增长基本停止。	人体解剖学 骨学总论 骨生长
骨径增粗主要依靠什么活动？	骨膜的成骨活动。		人体解剖学 骨学总论 骨生长
影响骨生长发育的主要因素有哪些？	遗传、营养、激素、机械负荷和生活方式。	儿童青少年期是峰值骨量形成的重要阶段。	人体解剖学 骨学总论 骨发育
营养如何影响骨生长和骨量积累？	充足能量、蛋白质、钙磷和维生素D支持骨基质形成与矿化。		人体解剖学 骨学总论 骨发育 营养
什么是骨改建？	旧骨吸收与新骨形成持续进行、使骨结构更新和适应负荷的过程。	骨是动态活组织。	人体解剖学 骨学总论 骨改建 概念
适宜机械负荷如何促进骨改建？	刺激骨形成并使骨小梁按应力方向调整，提高局部骨密度和强度。		人体解剖学 骨学总论 骨改建 运动适应 上体高频
肌肉牵拉如何影响骨的形态？	长期牵拉可促进肌腱附着处骨突、粗隆和结节等结构适应。	结构与功能相互影响。	人体解剖学 骨学总论 骨改建 肌肉牵拉
长期制动或失重为什么导致骨量下降？	缺少必要机械刺激，使骨吸收相对增加、骨形成不足。	康复不能无限期完全不负重。	人体解剖学 骨学总论 废用 骨改建
骨有哪些主要功能？	支持、保护、运动杠杆、造血和矿物质储存。	25分题五点框架。	人体解剖学 骨学总论 骨功能
骨的支持功能如何体现？	构成人体支架，维持体形和姿势。		人体解剖学 骨学总论 骨功能
骨的保护功能如何体现？	颅骨保护脑、椎骨保护脊髓、胸廓保护心肺。		人体解剖学 骨学总论 骨功能
骨如何参与人体运动？	骨作为杠杆，关节作为枢纽，在肌肉拉力作用下产生运动。	与前三章综合牌组衔接。	人体解剖学 骨学总论 骨杠杆 上体高频
骨的矿物质储存功能主要涉及哪些元素？	钙和磷。	骨参与维持体液矿物质稳态。	人体解剖学 骨学总论 骨功能
