#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研英语::外刊精读::The Economist
#tags column:4
be steeped in	充满、浸润于；常用于历史、文化、传统、学术或创新氛围。	Example: A modern university should be steeped in innovation as well as academic discipline.	外刊精读 The_two_Cambridges vocabulary
have the edge in	在某方面占优势。	Example: Small cities may have the edge in research quality.	外刊精读 The_two_Cambridges vocabulary
commercialise research	将科研成果商业化，把实验室成果转化为产品、公司或产业价值。	Kaoyan writing: Universities should learn how to commercialise research responsibly.	外刊精读 The_two_Cambridges vocabulary writing
innovation cluster	创新集群；由大学、人才、资本、企业、医院、基础设施等共同构成的创新生态。	Useful topic: technology, education, economy, workplace development.	外刊精读 The_two_Cambridges vocabulary topic
be constrained by	受制于、被……限制。	Example: Many young people are constrained by limited educational resources.	外刊精读 The_two_Cambridges vocabulary writing
be starved of	严重缺乏；比 lack 更形象、更强烈。	Example: Rural schools are often starved of qualified teachers.	外刊精读 The_two_Cambridges vocabulary
proof of concept	概念验证；证明一个想法、技术或商业模式初步可行。	Common context: technology, startups, research commercialisation.	外刊精读 The_two_Cambridges vocabulary technology
risk-averse	规避风险的、谨慎避险的。	Example: Overly risk-averse investors may slow innovation.	外刊精读 The_two_Cambridges vocabulary
complement one another	相互补充；强调两个事物不是替代关系，而是互补关系。	Writing: Online education and traditional classrooms can complement one another.	外刊精读 The_two_Cambridges vocabulary writing
lure talent	吸引人才；lure 在新闻英语中常表示“吸引、诱使”。	Example: Better research funding can lure global talent.	外刊精读 The_two_Cambridges vocabulary
not so much A as B	与其说 A，不如说 B；重点强调 B。	Example: Online learning has not so much replaced traditional education as expanded its possibilities.	外刊精读 The_two_Cambridges grammar writing
It is no coincidence that...	主语从句结构：It 是形式主语，that 从句是真正主语。含义：……并非巧合。	Writing: It is no coincidence that successful cities often combine education, capital and infrastructure.	外刊精读 The_two_Cambridges grammar writing
The former..., the latter...	前者……，后者……；用于对前文提到的两个对象进行对比。	Example: The former offers flexibility; the latter provides discipline.	外刊精读 The_two_Cambridges grammar writing
Whereas A..., B...	whereas 引出强对比，常译为“然而/而”。	Use it to compare two systems, countries, generations, or education models.	外刊精读 The_two_Cambridges grammar
a dearth of	缺乏、匮乏；常接抽象或资源类名词，如 capital, evidence, talent。	Example: A dearth of long-term funding can weaken scientific innovation.	外刊精读 The_two_Cambridges vocabulary
The two Cambridges: central argument	Innovation needs more than excellent universities: it also needs capital, infrastructure, markets and cross-regional cooperation.	作文迁移：科技创新、教育发展、经济高质量发展、人才流动。	外刊精读 The_two_Cambridges macro writing
The two Cambridges: priority themes	Education and learning; economy; technology and everyday life; workplace and career development; cultural exchange.	用于考研英语作文素材归类。	外刊精读 The_two_Cambridges topic
Writing sentence: innovation ecosystem	A successful innovation ecosystem depends not only on talent, but also on capital, infrastructure and access to markets.	适用话题：科技创新、城市发展、教育、经济。	外刊精读 The_two_Cambridges writing
