#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::人体解剖学::03骨连结与关节总论
#tags column:4
骨连结的定义是什么？	骨与骨之间借结缔组织相连形成的结构。	使骨骼形成支架，并为运动提供支点和枢纽。	人体解剖学 关节总论 骨连结 概念
骨连结按结构和活动性分为哪两大类？	直接连结和间接连结。		人体解剖学 关节总论 骨连结 分类
直接连结的总体特点是什么？	骨间由组织直接连接，活动范围小而稳定性强。	偏向支持和保护。	人体解剖学 关节总论 直接连结
直接连结包括哪三类？	纤维连结、软骨连结和骨性结合。		人体解剖学 关节总论 直接连结 分类
纤维连结的结构特点是什么？	骨之间由致密纤维结缔组织连接，活动很小。	如颅骨缝和部分胫腓连结。	人体解剖学 关节总论 纤维连结
软骨连结的结构和功能特点是什么？	骨之间由软骨连接，允许少量活动并具有缓冲和传力作用。	如椎间盘和耻骨联合。	人体解剖学 关节总论 软骨连结
骨性结合的结构和活动特点是什么？	原有连结骨化为骨组织，几乎没有活动。	如成人骶骨内部融合。	人体解剖学 关节总论 骨性结合
间接连结指什么？	滑膜关节。	具有明显关节腔，活动度较大。	人体解剖学 关节总论 滑膜关节 概念
为什么滑膜关节是运动分析的重点？	它允许骨段产生较大范围、多个方向的相对运动。	肩、肘、髋、膝和踝均属于滑膜关节。	人体解剖学 关节总论 滑膜关节 意义
滑膜关节的三大基本结构是什么？	关节面、关节囊和关节腔。	关节结构题三项必须齐全。	人体解剖学 关节总论 滑膜关节 基本结构 上体高频
关节面的定义是什么？	相邻骨互相接触、参与构成关节的表面。	通常覆盖关节软骨。	人体解剖学 关节总论 关节面
关节软骨的主要功能是什么？	减少摩擦、缓冲压力、分散负荷并改善运动顺畅性。		人体解剖学 关节总论 关节软骨
关节面形态如何影响关节运动？	决定骨段运动方向、运动轴及一定程度的活动范围和稳定性。	结构决定功能。	人体解剖学 关节总论 关节面 结构功能
关节囊由哪两层构成？	外层纤维层和内层滑膜层。		人体解剖学 关节总论 关节囊
关节囊纤维层的主要功能是什么？	包绕和连接关节，提供被动稳定并限制过度运动。		人体解剖学 关节总论 关节囊 纤维层
关节囊滑膜层的主要功能是什么？	产生滑液并参与关节内环境和软骨营养。		人体解剖学 关节总论 关节囊 滑膜层
关节腔的定义是什么？	关节囊与关节面之间的密闭潜在腔隙。	不是一个空旷的大空间。	人体解剖学 关节总论 关节腔
关节腔内滑液的主要作用是什么？	润滑关节、减少摩擦并参与关节软骨营养。		人体解剖学 关节总论 滑液
关节腔负压对关节有什么意义？	有助于维持关节面贴合和关节稳定。		人体解剖学 关节总论 关节腔 稳定性
关节的常见辅助结构有哪些？	韧带、关节盘、半月板、关节唇、滑膜囊和腱鞘等。	并非每个关节都有全部结构。	人体解剖学 关节总论 辅助结构
韧带的主要功能是什么？	连接骨与骨，限制过度运动并提供被动稳定。	韧带不能主动收缩。	人体解剖学 关节总论 韧带
关节盘的主要功能是什么？	改善关节面适配、分散压力，并可分隔关节腔。	由纤维软骨构成。	人体解剖学 关节总论 关节盘
半月板的主要功能是什么？	提高关节面匹配、分散负荷、缓冲震荡并辅助稳定。	膝关节高频结构。	人体解剖学 关节总论 半月板 上体高频
半月板为什么既能稳定关节又容易损伤？	它承担匹配和负荷传递，扭转与压缩叠加时自身易承受较大剪切应力。	结构—负荷—损伤链。	人体解剖学 关节总论 半月板 损伤机制
关节唇的主要功能是什么？	加深关节窝、增加接触面积并提高稳定性。	如肩盂唇和髋臼唇。	人体解剖学 关节总论 关节唇
滑膜囊的主要功能是什么？	减少肌腱、骨面或皮肤之间的摩擦。	肩峰下滑囊炎可引起疼痛。	人体解剖学 关节总论 滑膜囊
腱鞘的主要功能是什么？	包绕和引导肌腱滑动，减少肌腱与周围结构摩擦。	常见于腕手和踝足。	人体解剖学 关节总论 腱鞘
按运动轴数量可把关节分为哪三类？	单轴、双轴和多轴关节。		人体解剖学 关节总论 关节分类
单轴关节的运动特点是什么？	主要围绕一个轴运动。	如肱尺关节主要屈伸。	人体解剖学 关节总论 单轴关节
双轴关节的运动特点是什么？	可围绕两个轴运动。	如桡腕关节可屈伸和桡尺偏。	人体解剖学 关节总论 双轴关节
多轴关节的运动特点是什么？	可围绕三个轴完成屈伸、收展、旋转和环转。	如肩关节和髋关节。	人体解剖学 关节总论 多轴关节
屈戍关节允许的主要运动是什么？	屈曲和伸展。	如肱尺关节和指间关节。	人体解剖学 关节总论 关节分类 屈戍关节
车轴关节允许的主要运动是什么？	围绕纵轴旋转。	如近侧桡尺关节完成旋前旋后。	人体解剖学 关节总论 关节分类 车轴关节
椭圆关节允许哪些主要运动？	屈伸和外展内收，可组合环转。	如桡腕关节。	人体解剖学 关节总论 关节分类 椭圆关节
鞍状关节的主要运动特点是什么？	可屈伸、外展内收，并因结构特点完成对掌等运动。	典型为第一腕掌关节。	人体解剖学 关节总论 关节分类 鞍状关节
球窝关节允许哪些运动？	屈伸、外展内收、内外旋和环转。	肩、髋均为多轴球窝关节。	人体解剖学 关节总论 关节分类 球窝关节
平面关节的运动特点是什么？	以小幅多方向滑动和位置微调为主。	如肩锁关节和腕骨间关节。	人体解剖学 关节总论 关节分类 平面关节
关节稳定性的主要来源有哪些？	关节面匹配、囊韧带、辅助结构、肌肉动力控制和神经控制。	稳定性题不能漏动态稳定。	人体解剖学 关节总论 稳定性 上体高频
什么是关节的静态稳定结构？	骨性匹配、关节囊、韧带、关节唇和半月板等非收缩结构。		人体解剖学 关节总论 稳定性 静态
什么是关节的动态稳定结构？	关节周围肌肉及其神经肌肉控制。	可主动调节关节位置和负荷。	人体解剖学 关节总论 稳定性 动态
为什么活动度大的关节通常更依赖软组织和肌肉稳定？	较大的活动范围常伴随较浅骨性包容或较松关节囊，骨性约束相对弱。	灵活性与稳定性的权衡。	人体解剖学 关节总论 稳定性 灵活性
为什么肩关节比髋关节更灵活但相对不稳定？	肩盂较浅、关节囊较松，骨性包容少；髋臼较深、囊韧带更强。	肩髋比较上体高频。	人体解剖学 关节总论 肩髋比较 上体高频
影响关节活动幅度的结构因素有哪些？	关节面形态、骨性限制、关节囊与韧带松紧、辅助结构及肌肉肌腱伸展性。		人体解剖学 关节总论 活动度 调节因素
影响关节活动幅度的个体和状态因素有哪些？	年龄、性别、训练水平、疼痛、肿胀、损伤和神经控制。	2024上体医技同源信号。	人体解剖学 关节总论 活动度 调节因素 上体高频
为什么关节活动度不是越大越好？	功能需要足够活动范围，也需要稳定和主动控制；过度松弛会增加损伤风险。	ROM应服务动作任务。	人体解剖学 关节总论 活动度 辨析
深蹲踝背屈不足可能引起哪些代偿？	足部代偿、膝轨迹改变、髋部策略变化或躯干前倾增加。	说明局部活动度会改变整体动作模式。	人体解剖学 关节总论 活动度 动作应用
科学运动对关节软组织有哪些良性影响？	增强关节囊、韧带、肌腱和周围肌肉的承载与稳定能力。		人体解剖学 关节总论 运动影响
适宜运动负荷对关节软骨有什么意义？	促进软骨营养和代谢，维持关节面功能。	负荷与恢复需平衡。	人体解剖学 关节总论 运动影响 关节软骨
过量或错误运动负荷可能损伤哪些关节结构？	关节软骨、韧带、半月板、关节囊、滑囊和肌腱等。		人体解剖学 关节总论 运动影响 损伤
关节康复评估应区分哪些主要问题？	活动度不足、稳定性不足、肌力不足、神经控制不足及负荷管理错误。	评估结果决定训练重点。	人体解剖学 关节总论 康复评估
踝扭伤后为什么不能只做拉伸？	还需恢复韧带保护、动态肌肉反应、平衡和本体感觉。	活动度与稳定控制并重。	人体解剖学 关节总论 康复应用 踝扭伤
膝关节术后康复为什么不能只练股四头肌？	还需控制肿胀、恢复活动度、步态、关节稳定和逐级回归跑跳。	结构—功能—任务整合。	人体解剖学 关节总论 康复应用 膝关节
肩痛康复为什么要同时关注肩胛和胸椎？	盂肱运动依赖肩胛定位和胸椎姿势，局部肩关节不是孤立工作的。	体现关节复合体思想。	人体解剖学 关节总论 康复应用 肩关节
试述滑膜关节结构与功能的25分答题主线？	骨连结分类→关节面、关节囊、关节腔→韧带、盘、半月板、唇等辅助结构→运动轴与自由度→稳定和活动度意义。	至少联系一个具体关节。	人体解剖学 关节总论 大题框架 上体高频
试述关节结构、运动与康复意义的50分答题主线？	结构决定运动方向与范围→静态和动态结构共同稳定→活动度与稳定性平衡→科学负荷促进适应→损伤后按活动度、力量、控制和负荷逐级恢复。	可用肩、髋、膝、踝或深蹲举例。	人体解剖学 关节总论 大题框架 上体高频
