#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::运动生理学::00第2-10章综合
#tags column:4
随意运动指令如何最终转化为骨骼肌收缩？	大脑皮质发出指令→各级运动中枢调节→脊髓前角运动神经元放电→神经肌肉接头释放乙酰胆碱→肌膜动作电位→兴奋—收缩耦联→肌丝滑行。	整合神经系统、接头传递和骨骼肌收缩；50分机制链。	运动生理学 综合 神经肌肉 大题框架 上体高频
从神经冲动到横桥形成需要经过哪些关键环节？	神经末梢钙内流并释放乙酰胆碱→终板电位达到阈值→肌膜与横小管动作电位→肌质网释钙→钙结合肌钙蛋白→结合位点暴露→横桥形成。	易失分点：终板电位与肌膜动作电位不能混为一谈。	运动生理学 综合 神经肌肉 机制
神经系统如何同时调节肌力大小与动作协调？	通过运动单位募集和放电频率调节肌力；通过交互抑制使主动肌兴奋、拮抗肌放松；小脑依据感觉反馈校正误差。	力量—协调—反馈三条线。	运动生理学 综合 神经肌肉 运动调控
牵张反射如何与随意运动共同维持负重动作稳定？	皮质产生随意指令；负重牵拉肌肉时肌梭启动牵张反射，提高同肌收缩；感觉反馈和小脑再调节肌张力与姿势。	可联系深蹲、落地、跑步和负重站立。	运动生理学 综合 牵张反射 姿势稳定
落地缓冲时神经与肌肉机制如何协同？	视觉和前庭预判落地→中枢预激活肌群→关节屈曲时肌肉离心控制→肌梭反馈和牵张反射调节张力→小脑修正姿势误差。	感觉—前馈—反馈—肌肉工作整合。	运动生理学 综合 落地 神经肌肉 康复应用
肌肉疲劳可能在哪些神经肌肉环节降低力量输出？	中枢驱动和运动单位募集下降、神经肌肉传递效能下降、钙离子释放或回收异常、横桥循环和ATP供应受限。	不是所有疲劳都只由乳酸造成。	运动生理学 综合 神经肌肉 疲劳
力量训练如何同时改善神经控制和肌肉结构？	早期提高运动单位募集、同步化和放电效率；长期促进肌纤维横断面积和收缩蛋白增加；二者共同提高力量。	神经适应与肌肥大需分层作答。	运动生理学 综合 力量训练 训练适应
动作技能熟练后为什么能更快速、省力地发力？	突触和神经环路可塑性使运动程序稳定；主动肌与拮抗肌转换更精确；感觉反馈和小脑校正更高效，减少不必要共同收缩。	联系运动技能自动化与交互抑制。	运动生理学 综合 运动技能 神经肌肉
外界氧如何经过呼吸、循环和血液到达活动肌？	肺通气把氧送入肺泡→肺换气使氧进入血液→血红蛋白运输→心输出量和肌血流增加→组织换气使氧进入肌细胞。	供氧运输链是呼吸、血液、循环综合题主线。	运动生理学 综合 氧运输 大题框架 上体高频
运动时提高活动肌供氧量依赖哪三个核心变量？	动脉血氧含量、心输出量和活动肌血流分配。	可进一步联系氧利用；供氧量不是只由通气量决定。	运动生理学 综合 氧运输 调节因素
运动时心输出量增加如何与肺换气增强相配合？	心率和每搏输出量增加使肺血流增多；通气量同步增加，改善通气—血流匹配并提高气体交换总量。	心肺耦联。	运动生理学 综合 心肺反应
活动肌如何通过局部环境促进血红蛋白释氧？	肌肉耗氧使氧分压下降，二氧化碳、氢离子和温度升高，使氧离曲线右移并促进释氧。	代谢—氧离曲线—组织供氧链。	运动生理学 综合 氧离曲线 组织供氧
为什么运动中仅增加呼吸频率不一定能有效提高供氧？	浅快呼吸使较多气体停留于无效腔；若心输出量、血红蛋白和肌血流不足，氧仍不能有效运达组织。	肺通气只是供氧链的第一环。	运动生理学 综合 呼吸效率 氧运输
血红蛋白偏低为什么会限制有氧运动能力？	动脉血携氧容量下降→单位血流供氧减少→机体需提高心输出量代偿→高强度时仍易出现组织供氧不足。	需区分真性贫血与血浆扩容造成的相对偏低。	运动生理学 综合 血红蛋白 有氧能力
运动员血浆扩容如何同时改善循环与体温调节？	增加静脉回流和每搏输出量，降低血液黏度；同时为皮肤血流和出汗提供较充足体液储备。	血液—循环—体温综合。	运动生理学 综合 血浆容量 循环 体温
长期耐力训练如何提高氧运输系统效率？	血容量和每搏输出量增加、最大心输出量提高、肌毛细血管增多、呼吸调节更经济，组织氧输送和利用改善。	相同负荷表现为心率和通气反应更经济。	运动生理学 综合 耐力训练 氧运输 训练适应
运动后心率恢复慢可能涉及哪些系统状态？	自主神经恢复不足、循环负荷较高、体温未降、脱水或整体疲劳均可使心率持续偏高。	不能仅凭一个指标诊断，需结合血压、体温、主观感受和训练背景。	运动生理学 综合 机能评定 恢复心率
为什么呼吸、循环和血液指标必须联合评定有氧机能？	通气与换气决定摄氧，血红蛋白决定携氧，心输出量和血流决定输氧；任一环节受限都可降低有氧能力。	综合评定优于单一指标。	运动生理学 综合 机能评定 有氧能力
运动开始后ATP供应如何从磷酸原逐步转向多系统协同？	肌内ATP和磷酸肌酸立即供能→糖酵解迅速增强→氧化系统随供氧和代谢启动逐步提高贡献；三者始终重叠。	禁止写成三个系统完全依次开关。	运动生理学 综合 能源系统 机制 上体高频
运动强度升高时糖和脂肪供能比例为什么变化？	高强度需要更快ATP生成，糖供能比例提高；低中强度且持续较久时氧供应充分，脂肪氧化贡献较大。	相对强度、持续时间和糖原状态共同决定。	运动生理学 综合 糖脂供能 调节因素
运动中激素如何配合三大能源系统维持ATP再合成？	儿茶酚胺和胰高血糖素促进糖原分解，糖皮质激素支持糖异生和底物动员，脂解激素增加脂肪酸供应，从而为酵解和氧化系统提供底物。	激素不直接产生ATP，而是调节底物来源。	运动生理学 综合 能源系统 激素
运动中血糖稳定依赖哪些器官和激素协同？	肝糖原分解和糖异生提供葡萄糖；胰高血糖素、儿茶酚胺和糖皮质激素促进来源；胰岛素作用相对降低并协调肌肉摄糖。	肝脏—激素—运动肌综合。	运动生理学 综合 血糖调节 大题框架 上体高频
为什么长时间运动后程脂肪供能增加仍不能完全防止掉速？	脂肪氧化供能速度较慢且需氧较多；糖原和血糖不足时，快速ATP再合成能力下降。	解释马拉松“撞墙”。	运动生理学 综合 耐力运动 糖脂供能
