#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::真题词汇
mental clarity	<b>核心意思</b>：思维清晰度；头脑清楚<br><b>原文句</b>：As many people hit middle age, they often start to notice that their memory and mental clarity are not what they used to be.<br>译：许多人步入中年后，常开始注意到自己的记忆力和思维清晰度已不如从前。<br><b>怎么记</b>：clarity 来自 clear；mental clarity 与 mental sharpness 构成同义链。<br><b>怎么考</b>：阅读和完形常用同义替换：clarity ≈ sharpness；不要只记“清楚”。<br><b>真实例句</b>：Regular exercise can improve mental clarity and concentration.<br>译：规律锻炼能够改善思维清晰度和专注力。	<b>合并说明</b>：用户词表中的 clarity 归入更自然的真题词块 mental clarity。	真题词汇
to a certain extent	<b>核心意思</b>：在一定程度上<br><b>原文句</b>：To a certain extent, our ability to excel in making the connections that drive intelligence is inherited.<br>译：在一定程度上，我们擅长建立推动智力发展的神经连接的能力是遗传的。<br><b>怎么记</b>：extent 是“范围、程度”；该短语主动限制结论强度。<br><b>怎么考</b>：态度题中表示有限肯定，不能改写成 completely 或 entirely。<br><b>真实例句</b>：Technology can improve education to a certain extent, but it cannot replace good teachers.<br>译：技术能在一定程度上改善教育，但无法取代优秀教师。	<b>作文可用</b>：用于让步与限定观点，避免绝对化表达。	真题词汇
fluctuate	<b>核心意思</b>：v. 波动；起伏<br><b>原文句</b>：However, because these connections are made through effort and practice, scientists believe that intelligence can expand and fluctuate according to mental effort.<br>译：然而，由于这些连接通过努力和练习形成，科学家认为智力能够随着脑力投入而增长和波动。<br><b>怎么记</b>：联想 fluctuation“波动”；常与 prices、rates、levels、performance 搭配。<br><b>怎么考</b>：注意 fluctuate 是不及物动词：prices fluctuate；不能直接接宾语。<br><b>真实例句</b>：Energy levels naturally fluctuate throughout the day.<br>译：人的精力水平会在一天中自然波动。	<b>作文可用</b>：The unemployment rate may fluctuate in response to economic conditions.	真题词汇
obscure	<b>核心意思</b>：v. 遮蔽；使难以理解；adj. 模糊的、不知名的<br><b>原文句</b>：Yet its report may well set back reform by obscuring the depth and breadth of the challenge that Congress asked it to illuminate.<br>译：然而，这份报告很可能因遮蔽国会要求其阐明的问题的深度和广度而阻碍改革。<br><b>怎么记</b>：obscure 与 illuminate 在句中构成反义对照：遮蔽 ↔ 阐明。<br><b>怎么考</b>：熟词多义：题目可能考动词“掩盖”，而非形容词“晦涩的”。<br><b>真实例句</b>：Technical jargon can obscure the main point of an argument.<br>译：技术术语可能掩盖论证的核心观点。	<b>作文可用</b>：短语 obscure the real problem 可用于批评表面化解决方案。	真题词汇
well-being	<b>核心意思</b>：n. 健康、幸福与良好生活状态<br><b>原文句</b>：While these are not necessarily symptoms of something serious, forgetting things can have a tremendous impact on your professional, social, and personal well-being.<br>译：虽然这些未必是严重问题的症状，但健忘可能严重影响一个人的职业、社交和个人生活状态。<br><b>怎么记</b>：well + being＝处于良好状态；规范拼写通常带连字符。<br><b>怎么考</b>：比 happiness 范围更广，可概括身体、心理与社会状态。<br><b>真实例句</b>：Adequate sleep is essential for physical and mental well-being.<br>译：充足睡眠对身心健康至关重要。	<b>合并说明</b>：部分真题电子版写作 wellbeing；制卡采用常见规范形式 well-being。	真题词汇
excel in	<b>核心意思</b>：擅长；在……方面表现突出<br><b>原文句</b>：To a certain extent, our ability to excel in making the connections that drive intelligence is inherited.<br>译：在一定程度上，我们擅长建立推动智力发展的神经连接的能力是遗传的。<br><b>怎么记</b>：excel 不只指软件 Excel；动词常用结构是 excel in sth/doing sth。<br><b>怎么考</b>：介词搭配题：excel in，而不是 excel at/on。<br><b>真实例句</b>：She excels in explaining complex ideas in plain language.<br>译：她擅长用通俗语言解释复杂观点。	<b>合并说明</b>：用户写作 Excel；真题中是小写动词 excel。	真题词汇
idle	<b>核心意思</b>：adj. 闲置的；无所事事的；空转的<br><b>原文句</b>：[补充语境] Without challenging tasks, the mind may remain idle instead of forming stronger connections.<br>译：【补充语境】缺少有挑战性的任务时，大脑可能处于闲置状态，而不是形成更强的连接。<br><b>怎么记</b>：idle time 是空闲时间；an idle machine 是闲置机器；idle talk 是空谈。<br><b>怎么考</b>：2014完形中作为干扰项；要根据“训练是否有效”的语义排除。<br><b>真实例句</b>：The equipment stood idle for several months.<br>译：这套设备闲置了好几个月。		真题词汇
be eligible for	<b>核心意思</b>：有资格获得；符合……的条件<br><b>原文句</b>：Only if the jobless arrive at the jobcentre with a CV, register for online job search, and start looking for work will they be eligible for benefit.<br>译：失业者只有带着简历到就业中心、注册网上求职并开始找工作，才有资格领取救济。<br><b>怎么记</b>：eligible 强调满足正式条件；常接 for + 名词，或 to do。<br><b>怎么考</b>：常与 qualified 混淆；注意 Only if 置于句首引起部分倒装。<br><b>真实例句</b>：Employees are eligible for paid leave after six months.<br>译：员工工作满六个月后有资格享受带薪休假。	<b>作文可用</b>：be eligible for financial support / public services。	真题词汇
stay off benefits	<b>核心意思</b>：不依赖、不领取社会救济<br><b>原文句</b>：We're doing these things because we know they help people stay off benefits and help those on benefits get into work faster.<br>译：我们采取这些措施，是因为它们能帮助人们不依赖救济，并帮助正在领取救济的人更快就业。<br><b>怎么记</b>：stay off＝远离、避免使用；与 be on benefits“领取救济”对照。<br><b>怎么考</b>：off 的核心是“脱离”；不要机械翻译为“待在……外面”。<br><b>真实例句</b>：Training programs can help unemployed workers stay off benefits.<br>译：培训项目能帮助失业者摆脱对救济的依赖。		真题词汇
redefine A as B	<b>核心意思</b>：把A重新界定为B<br><b>原文句</b>：Even the very phrase “jobseeker's allowance” is about redefining the unemployed as a “jobseeker” who had no fundamental right to a benefit.<br>译：甚至“求职者津贴”这一说法本身，也是在把失业者重新界定为没有基本救济权的“求职者”。<br><b>怎么记</b>：re- 表示“重新”；define A as B＝把A定义为B。<br><b>怎么考</b>：关注语言包装如何改变概念，常用于作者态度和论证分析。<br><b>真实例句</b>：Some companies are redefining waste as a valuable resource.<br>译：一些公司正把废弃物重新定义为有价值的资源。	<b>作文可用</b>：redefine failure as an opportunity for growth。	真题词汇
entitlement	<b>核心意思</b>：n. 应得权利；法定权益<br><b>原文句</b>：Instead, the claimant receives a time-limited “allowance,” conditional on actively seeking a job; no entitlement and no insurance.<br>译：相反，申领人得到的是一项有时间限制且以积极求职为条件的“津贴”；既非应得权利，也非保险保障。<br><b>怎么记</b>：entitle sb to sth＝使某人有权获得；entitlement 是由制度或身份产生的权利。<br><b>怎么考</b>：不要只记负面的“特权感”；法律政策语境常表示法定权益。<br><b>真实例句</b>：Access to basic education should be treated as an entitlement, not a privilege.<br>译：接受基础教育应被视为一项权利，而非特权。		真题词汇
insult	<b>核心意思</b>：v. 侮辱；n. 侮辱、冒犯<br><b>原文句</b>：[补充语境] Treating every unemployed person as unwilling to work may insult those who have lost their jobs through no fault of their own.<br>译：【补充语境】把每位失业者都视为不愿工作，可能会冒犯那些并非因自身过错而失业的人。<br><b>怎么记</b>：insult sb 是“侮辱某人”；be insulted 表示“感到受辱”。<br><b>怎么考</b>：2014阅读选项考情绪判断；原文只有 uneasy 的充分证据，不能把情绪升级为 insulted。<br><b>真实例句</b>：He felt insulted by the unfair accusation.<br>译：他因这一不公正的指控而感到受辱。		真题词汇
guilty	<b>核心意思</b>：adj. 有罪的；内疚的<br><b>原文句</b>：[补充语境] Losing a job may make people anxious, but it does not necessarily make them feel guilty.<br>译：【补充语境】失业可能使人焦虑，但未必会使人感到内疚。<br><b>怎么记</b>：be guilty of 表示犯有……罪；feel guilty about 表示对……感到内疚。<br><b>怎么考</b>：区分法律意义“有罪”和心理意义“内疚”；态度题要有明确证据。<br><b>真实例句</b>：The company was found guilty of misleading consumers.<br>译：该公司被判误导消费者。		真题词汇
have grounds for	<b>核心意思</b>：有……的理由或根据<br><b>原文句</b>：But there are few places where clients have more grounds for complaint than America.<br>译：但很少有地方的客户比美国客户更有理由抱怨。<br><b>怎么记</b>：grounds 常用复数，表示支持判断或行动的“根据”。<br><b>怎么考</b>：固定搭配：have grounds for complaint/suspicion；on the grounds that...＝理由是……。<br><b>真实例句</b>：There are strong grounds for questioning the reliability of the data.<br>译：我们有充分理由质疑这些数据的可靠性。	<b>合并说明</b>：用户词表中的 ground 归入真题搭配 have grounds for。	真题词汇
fearsome / fearsomely	<b>核心意思</b>：adj. 可怕的、令人生畏的 / adv. 极其地<br><b>原文句</b>：Law-school debt means that many have to work fearsomely hard.<br>译：法学院债务意味着许多人不得不极其拼命地工作。<br><b>怎么记</b>：fearsome＝引起恐惧的；真题使用副词 fearsomely 修饰 hard，语义接近 extremely。<br><b>怎么考</b>：注意词性转换：fearsome → fearsomely；不要误解为“恐惧地工作”。<br><b>真实例句</b>：The team faces a fearsome challenge in the final stage of the project.<br>译：团队在项目最后阶段面临严峻挑战。	<b>合并说明</b>：保留用户所列形容词，同时合并真题中的副词形式 fearsomely。	真题词汇
sensible	<b>核心意思</b>：adj. 明智的；合理的；切合实际的<br><b>原文句</b>：Sensible ideas have been around for a long time, but the state-level bodies that govern the profession have been too conservative to implement them.<br>译：合理的改革设想早已存在，但管理该行业的州级机构过于保守，迟迟未予实施。<br><b>怎么记</b>：sensible 来自 sense“判断力”；a sensible plan＝理性的、可行的方案。<br><b>怎么考</b>：与 sensitive“敏感的”区分，是高频形近词陷阱。<br><b>真实例句</b>：Setting realistic goals is a sensible way to maintain motivation.<br>译：设定现实目标是保持动力的明智方法。		真题词汇
implement	<b>核心意思</b>：v. 实施、执行；n. 工具<br><b>原文句</b>：Sensible ideas have been around for a long time, but the state-level bodies that govern the profession have been too conservative to implement them.<br>译：合理的改革设想早已存在，但管理该行业的州级机构过于保守，迟迟未予实施。<br><b>怎么记</b>：政策语境中 implement≈carry out；名词 implementation 表示实施。<br><b>怎么考</b>：常搭配 policy、reform、measure、plan；不是“提出”而是落地执行。<br><b>真实例句</b>：The government should implement effective measures to reduce pollution.<br>译：政府应实施有效措施以减少污染。	<b>作文可用</b>：implement effective measures to address...。	真题词汇
sit for	<b>核心意思</b>：参加考试<br><b>原文句</b>：Another is to let students sit for the bar after only two years of law school.<br>译：另一项建议是允许学生只读两年法学院便参加律师资格考试。<br><b>怎么记</b>：英式表达 sit for an exam；美式口语也常用 take an exam。<br><b>怎么考</b>：sit for 后接考试，不能按字面理解为“为……坐着”。<br><b>真实例句</b>：More than a million candidates sit for the examination each year.<br>译：每年有一百多万名考生参加这项考试。		真题词汇
lucrative	<b>核心意思</b>：adj. 利润丰厚的；报酬优厚的<br><b>原文句</b>：As a News Feature article in Nature discusses, a string of lucrative awards for researchers have joined the Nobel Prizes in recent years.<br>译：正如《自然》的一篇新闻特写所述，近年来一系列面向研究人员的高额奖金奖项加入了诺贝尔奖的行列。<br><b>怎么记</b>：联想利润 profit；lucrative job/market/contract 强调能赚很多钱。<br><b>怎么考</b>：态度中性偏事实，不等于 greedy 或 unethical。<br><b>真实例句</b>：Cybersecurity has become a lucrative field for skilled professionals.<br>译：网络安全已成为专业人才收入丰厚的领域。		真题词汇
upstart	<b>核心意思</b>：n. 暴发户；新贵；adj. 新近崛起而自命不凡的<br><b>原文句</b>：These upstart entrepreneurs cannot buy their prizes the prestige of the Nobels.<br>译：这些新贵企业家无法用金钱为其奖项买来诺贝尔奖那样的声望。<br><b>怎么记</b>：up + start：刚起步却迅速冒头，常带轻蔑色彩。<br><b>怎么考</b>：态度词：比 newcomer 更贬义，可体现批评者的不屑。<br><b>真实例句</b>：The upstart company is challenging several established brands.<br>译：这家新兴公司正在挑战多个老牌品牌。		真题词汇
self-promotion	<b>核心意思</b>：n. 自我宣传<br><b>原文句</b>：The new awards are an exercise in self-promotion for those behind them, say scientists.<br>译：一些科学家说，新奖项只是幕后创办者的一场自我宣传。<br><b>怎么记</b>：promotion 可表示晋升、促销；加 self- 后表示宣传自己。<br><b>怎么考</b>：观点归属题要识别：这是 critics/scientists 的批评，不是作者最终结论。<br><b>真实例句</b>：Constant self-promotion may damage a leader's credibility.<br>译：不断自我吹捧可能损害领导者的可信度。	<b>合并说明</b>：用户词表中的 promotion 归入真题中的完整词块 self-promotion。	真题词汇
