#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::运动生理学::神经系统机能
#tags column:4
神经组织由哪两类细胞构成？	神经元和神经胶质细胞。		运动生理学 神经系统机能 基础
神经元在神经系统中的基本地位是什么？	神经系统的基本结构和功能单位。		运动生理学 神经系统机能 神经元
神经元的主要功能是什么？	接受刺激、产生兴奋和传递信息。		运动生理学 神经系统机能 神经元
神经胶质细胞是否传导神经冲动？	不传导神经冲动。	其主要承担支持、营养、隔离、形成髓鞘、屏障、修复和调节等作用。	运动生理学 神经系统机能 神经胶质细胞
神经系统活动的基本方式是什么？	反射。		运动生理学 神经系统机能 反射
神经元由哪两大部分组成？	细胞体和突起。		运动生理学 神经系统机能 神经元
神经元细胞体的主要作用是什么？	进行代谢并整合信息。		运动生理学 神经系统机能 神经元
神经元的突起包括哪两类？	树突和轴突。		运动生理学 神经系统机能 神经元
树突的主要功能是什么？	接受信息。	树突通常较短，可多次分支。	运动生理学 神经系统机能 神经元
轴突的主要功能是什么？	将冲动传向其他神经元或效应器。	轴突一般较长。	运动生理学 神经系统机能 神经元
感觉神经元的信息传递方向是什么？	把体内外环境变化的信息从外周传向中枢。		运动生理学 神经系统机能 神经元分类
运动神经元的信息传递方向是什么？	把中枢信息传向肌肉或腺体等效应器。		运动生理学 神经系统机能 神经元分类
中间神经元的主要作用是什么？	在中枢内联络、整合和调控感觉与运动信息。	位于感觉神经元和运动神经元之间。	运动生理学 神经系统机能 神经元分类
什么是神经纤维？	神经元突起及其外包结构的总称。		运动生理学 神经系统机能 神经纤维
轴浆运输有什么意义？	运输线粒体、突触囊泡、分泌颗粒和代谢物质，以维持神经元结构和功能。		运动生理学 神经系统机能 神经纤维
什么是突触？	一个神经元与另一个神经元接触并传递兴奋或抑制信息的部位。	通常为轴突末梢与另一神经元的突起或胞体相接触。	运动生理学 神经系统机能 突触
化学性突触由哪三部分构成？	突触前膜、突触间隙和突触后膜。		运动生理学 神经系统机能 突触
突触小泡位于哪里，储存什么？	位于突触前末梢内，储存神经递质。		运动生理学 神经系统机能 突触
化学性突触如何把兴奋传给突触后神经元？	兴奋到达突触前末梢后释放递质；递质与突触后膜受体结合，引起兴奋或抑制。		运动生理学 神经系统机能 突触传递
化学性突触为何只能单向传递？	递质由突触前膜释放，只能作用于突触后膜受体。	传递方向为突触前膜到突触后膜。	运动生理学 神经系统机能 突触传递
什么是突触传递的中枢延搁？	兴奋通过突触需要一定时间，导致反射中枢内传递出现延迟。		运动生理学 神经系统机能 突触传递
突触后电位可发生哪两种总和？	时间总和和空间总和。		运动生理学 神经系统机能 突触传递
什么是突触传递的后发放？	刺激停止后，中枢仍可继续发放冲动。	常与链锁式或环式神经联系有关。	运动生理学 神经系统机能 突触传递
哪些内外环境因素容易影响突触传递？	缺氧、二氧化碳过多、药物和疲劳等。		运动生理学 神经系统机能 突触传递
突触传递为什么容易疲劳？	突触环节对递质供应和内环境变化敏感，连续活动时传递效能容易下降。		运动生理学 神经系统机能 突触传递
反射的定义是什么？	机体在中枢神经系统参与下，对内外环境刺激作出的规律性应答。	定义必须写出“中枢神经系统参与”。	运动生理学 神经系统机能 反射
反射活动的结构基础是什么？	反射弧。		运动生理学 神经系统机能 反射弧
反射弧由哪五部分组成？	感受器、传入神经、神经中枢、传出神经和效应器。	按信息传递顺序记忆。	运动生理学 神经系统机能 反射弧
反射弧中感受器的作用是什么？	接受刺激并产生神经冲动。		运动生理学 神经系统机能 反射弧
反射弧中神经中枢的作用是什么？	分析和整合传入信息。		运动生理学 神经系统机能 反射弧
