#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#tags column:4
genetic screening	<b>核心意思</b>：基因筛查；通过遗传信息寻找疾病风险。<br><b>原文句</b>：Similar trials are under way in America, Australia and parts of Europe, to test whether such screening should be offered for all newborns.<br>译：美国、澳大利亚和欧洲部分地区也正在进行类似试验，以检验这种筛查是否应提供给所有新生儿。<br><b>怎么记</b>：screen = 筛查/筛选，不是屏幕；medical screening 常指疾病早筛。<br><b>怎么考</b>：健康类阅读高频；注意 screen for diseases / offer screening to sb.<br><b>真实例句</b>：<br>1. Genetic screening can help doctors detect rare diseases earlier. 译：基因筛查能帮助医生更早发现罕见病。<br>2. Public screening programmes must protect privacy as well as health. 译：公共筛查项目既要保护健康，也要保护隐私。		外刊精读
have their genomes sequenced	<b>核心意思</b>：让其基因组被测序。<br><b>原文句</b>：Should all babies have their genomes sequenced?<br>译：是否应该为所有婴儿测序基因组？<br><b>怎么记</b>：have sth done = 让某事被完成；genome = 全套遗传信息。<br><b>怎么考</b>：标题常考被动结构和核心话题；不要译成婴儿自己测序。<br><b>真实例句</b>：<br>1. Some parents want to have their children's genomes sequenced at birth. 译：一些父母想在孩子出生时为其测序基因组。<br>2. Patients may have their genomes sequenced before receiving targeted treatment. 译：患者可能会在接受靶向治疗前做基因组测序。		外刊精读
retinoblastoma	<b>核心意思</b>：视网膜母细胞瘤；一种罕见眼癌。<br><b>原文句</b>：Shortly after Freddie was born in April 2025, he was diagnosed with retinoblastoma, a rare form of eye cancer.<br>译：2025 年 4 月，Freddie 出生后不久，就被诊断出患有视网膜母细胞瘤，这是一种罕见的眼癌。<br><b>怎么记</b>：专业词不必死背拼写，但要能看出后文 eye cancer 的解释。<br><b>怎么考</b>：阅读中遇到专名，优先找同位语解释；本文同位语是 a rare form of eye cancer。<br><b>真实例句</b>：<br>1. Retinoblastoma can threaten a child's sight if it is not detected early. 译：如果未能早期发现，视网膜母细胞瘤可能威胁儿童视力。<br>2. Doctors use genetic tests to assess the risk of retinoblastoma. 译：医生使用基因检测评估视网膜母细胞瘤风险。		外刊精读
spotted early and treated promptly	<b>核心意思</b>：被早早发现并及时治疗。<br><b>原文句</b>：It was spotted early and treated promptly, which means he has a much better chance of growing up with normal vision.<br>译：它被早早发现并及时治疗，这意味着他长大后保持正常视力的机会大得多。<br><b>怎么记</b>：spot = notice/detect 发现；promptly = without delay 及时地。<br><b>怎么考</b>：熟词 spot 的动词义常考；which 指代前面整个早诊早治事实。<br><b>真实例句</b>：<br>1. The tumour was spotted early and treated promptly. 译：肿瘤被早早发现并及时治疗。<br>2. Safety risks should be spotted early and dealt with promptly. 译：安全风险应被及早发现并及时处理。	<b>作文可用</b>：Social problems should be spotted early and dealt with promptly. 译：社会问题应被及早发现并及时处理。	外刊精读
no accident	<b>核心意思</b>：并非偶然；有原因、有制度支撑。<br><b>原文句</b>：That quick diagnosis was no accident.<br>译：这样的快速诊断并非偶然。<br><b>怎么记</b>：no accident 常用于说明某结果背后有安排、机制或努力。<br><b>怎么考</b>：推理题中提示作者要解释原因；不要只译成交通事故。<br><b>真实例句</b>：<br>1. The city's success was no accident; it followed years of investment. 译：这座城市的成功并非偶然，而是多年投资的结果。<br>2. Good exam performance is no accident but the result of steady practice. 译：好的考试表现并非偶然，而是稳定练习的结果。	<b>作文可用</b>：A healthy society is no accident; it depends on fair rules and public responsibility. 译：健康社会并非偶然，而依赖公平规则和公共责任。	外刊精读
complete genetic code	<b>核心意思</b>：完整遗传密码；完整基因信息。<br><b>原文句</b>：Freddie is part of the Generation Study, an English programme which plans to sequence the complete genetic code of 100,000 babies.<br>译：Freddie 参加了 Generation Study，这是英格兰的一项计划，打算对 10 万名婴儿的完整遗传密码进行测序。<br><b>怎么记</b>：code 在科技文中常指编码/密码；genetic code 是遗传信息表达。<br><b>怎么考</b>：科技阅读中 code 不一定是法律法规，也不一定是计算机代码。<br><b>真实例句</b>：<br>1. A person's complete genetic code may reveal risks that are not yet visible. 译：一个人的完整遗传密码可能揭示尚不可见的风险。<br>2. Researchers compare genetic codes to understand inherited diseases. 译：研究人员比较遗传密码以理解遗传疾病。		外刊精读
boost medical research	<b>核心意思</b>：推动医学研究；促进医学研究发展。<br><b>原文句</b>：The idea is both to screen them for genetic diseases and to use the collected genomic data to boost medical research in future.<br>译：其思路既是为这些婴儿筛查遗传疾病，也是把收集到的基因组数据用于未来的医学研究。<br><b>怎么记</b>：boost = increase/support strongly，常搭配 research, growth, confidence, demand。<br><b>怎么考</b>：完形常考动宾搭配；boost 比 help 更强。<br><b>真实例句</b>：<br>1. Shared data can boost medical research into rare diseases. 译：共享数据可以推动罕见病医学研究。<br>2. Public funding can boost research that private firms ignore. 译：公共资金可以推动私人公司忽视的研究。	<b>作文可用</b>：Open data can boost medical research, but it must be protected by strict privacy rules. 译：开放数据可以推动医学研究，但必须受到严格隐私规则保护。	外刊精读
under way	<b>核心意思</b>：正在进行中。<br><b>原文句</b>：Similar trials are under way in America, Australia and parts of Europe, to test whether such screening should be offered for all newborns.<br>译：美国、澳大利亚和欧洲部分地区也正在进行类似试验，以检验这种筛查是否应提供给所有新生儿。<br><b>怎么记</b>：under way 是固定搭配，常用于 project, trial, reform, investigation。<br><b>怎么考</b>：阅读中定位当前进展；不要译成在路下面。<br><b>真实例句</b>：<br>1. A nationwide debate about data privacy is under way. 译：一场关于数据隐私的全国辩论正在进行。<br>2. Several school reforms are under way in rural areas. 译：数项学校改革正在农村地区推进。		外刊精读
newborns	<b>核心意思</b>：新生儿。<br><b>原文句</b>：Similar trials are under way in America, Australia and parts of Europe, to test whether such screening should be offered for all newborns.<br>译：美国、澳大利亚和欧洲部分地区也正在进行类似试验，以检验这种筛查是否应提供给所有新生儿。<br><b>怎么记</b>：newborn = newly born baby；常与 infants 互换。<br><b>怎么考</b>：健康、人口、家庭话题基础词；注意复数 newborns。<br><b>真实例句</b>：<br>1. Newborns need careful medical protection in the first weeks of life. 译：新生儿在出生最初几周需要细致的医疗保护。<br>2. A policy for newborns must consider parents' consent and children's rights. 译：面向新生儿的政策必须考虑父母同意和儿童权利。		外刊精读
fret	<b>核心意思</b>：担心；焦虑；为某事发愁。<br><b>原文句</b>：Critics fret that genomic sequencing may cause needless worry, and require parents to hand over sensitive data about their children.<br>译：批评者则担心，基因组测序可能造成不必要的焦虑，并要求父母交出关于孩子的敏感数据。<br><b>怎么记</b>：fret 比 worry 更有持续焦虑感；外刊常用 critics fret that... 引出反方。<br><b>怎么考</b>：作者态度和正反观点题常见；看到 critics fret 要定位反对理由。<br><b>真实例句</b>：<br>1. Parents fret that too much screen time may harm children's attention. 译：父母担心过多屏幕时间可能损害孩子注意力。<br>2. Citizens fret that facial-recognition systems may collect too much data. 译：公众担心人脸识别系统可能收集过多数据。		外刊精读
